Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,artist_name,bpm,is_hit
9067.0,010189igJXAPKuys4itwaE,Marcelo Falcão,Viver (Mais leve que o ar),Senhor fazei de mim (Um instrumento de tua paz),50.0,140466.0,False,0.649,0.571,9.0,-6.198,0.0,0.027,0.241,1.08e-05,0.172,0.659,108.03,4.0,brazil,,108.70780834480851,
9068.0,5wSagCWflNwJ1xM59ZKw6O,Pato Fu,Gol de Quem?,Sobre o Tempo,52.0,207533.0,False,0.633,0.551,11.0,-12.294,1.0,0.0427,0.00731,0.123,0.144,0.427,94.946,4.0,brazil,,129.35238150237194,
9069.0,3UzG9lnmUswPscvRfVmHcv,Tim Maia,Chill in Brazil,Acenda o farol,0.0,192026.0,False,0.574,0.883,9.0,-6.686,0.0,0.136,0.0606,0.0,0.0524,0.692,123.095,4.0,brazil,,96.62805942284702,
9070.0,1zJCjjA3FRdjPvf2Dex7u2,Cassiane,Vou Deixar na Cruz,Vou Deixar na Cruz,51.0,334692.0,False,0.292,0.67,5.0,-5.685,1.0,0.0395,0.56,0.0,0.0803,0.182,136.085,4.0,brazil,,108.16082237352667,
9071.0,6BEDKZYvBmsOPa1UgfmGZN,Vida Reluz,Banda Vida Reluz ao Vivo,Como És Lindo - Ao Vivo,52.0,238760.0,False,0.267,0.232,2.0,-14.365,1.0,0.0301,0.712,0.0,0.538,0.103,96.158,4.0,brazil,,129.65051979322197,
9072.0,3Xx8DDgvddsYPnxTH2LXsd,Fresno,Redenção,Desde Quando Você Se Foi,50.0,216226.0,False,0.575,0.902,6.0,-3.092,1.0,0.0321,0.077,0.0,0.359,0.601,130.024,4.0,brazil,,98.5868153128964,
9073.0,1QJWQRagviM87ff3wQjBkP,O Rappa,Acústico MTV,Pescador de ilusões - Ao vivo acústico,50.0,306266.0,False,0.385,0.806,1.0,-8.967,1.0,0.0398,0.237,0.00566,0.933,0.693,106.628,4.0,brazil,,119.97675410428702,
9074.0,0rYFCbRb25YpQ7fx2Gnr6v,Marcelo Markes;Juliano Son,Tu És Fiel,Tu És Fiel,52.0,301276.0,False,0.314,0.449,1.0,-9.442,0.0,0.0281,0.23,6.35e-05,0.0939,0.127,140.443,3.0,brazil,,119.8621729281103,
9075.0,3Xomal5ygcaPbGUwVqVtEg,Frejat,Dose Dupla Frejat,Amor pra recomeçar,51.0,214626.0,False,0.564,0.856,7.0,-4.994,1.0,0.0363,0.215,0.0,0.337,0.726,120.528,4.0,brazil,,125.49385200815733,
9076.0,3LRpTws8TecJYMxuVipvMQ,Padre Marcelo Rossi,Padre Marcelo Rossi Sem Limite,Pai Nosso - Ao Vivo,50.0,213866.0,False,0.189,0.624,9.0,-7.389,1.0,0.045,0.0877,0.0,0.0628,0.282,183.259,3.0,brazil,,95.65243493093887,
9077.0,3prDqIeQ71JN430YOl55eB,Lukas Agustinho,Em Teus Braços (Acústico),Em Teus Braços - Acústico,52.0,255600.0,False,0.396,0.485,11.0,-8.249,1.0,0.0344,0.615,0.0,0.151,0.739,62.518,4.0,brazil,,109.43764988649461,
9078.0,57JAYiwPmU93oowUWKwrEF,Cassiane,Cassiane - Gospel Collection Ao Vivo,Com Muito Louvor,50.0,382014.0,False,0.359,0.681,10.0,-5.821,1.0,0.0361,0.528,0.0,0.665,0.324,138.701,4.0,brazil,,109.05830220947625,
9079.0,4DVIA9RLre5v407SeMerY3,Nívea Soares,Eu Vou Construir,Eu Vou Construir,52.0,409459.0,False,0.436,0.443,0.0,-10.068,1.0,0.029,0.357,0.0,0.362,0.314,139.701,4.0,brazil,,119.02007212156082,
9080.0,412DoidvZjwctMQeL5wK9D,Samuel Messias,Eu Não Perdi o Controle (Ao Vivo),Eu Não Perdi o Controle (Ao Vivo),51.0,437324.0,False,0.516,0.51,6.0,-9.462,1.0,0.0349,0.138,0.0,0.0721,0.332,123.648,4.0,brazil,,121.9581663045647,
