Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,artist,bpm,genre,is_hit,artist_name
,,,,Tuyo (Narcos Theme) [Extended Version] - A Netflix Original Series Soundtrack,,151565.0,,0.765,0.497,,-7.806,,0.0402,0.492,0.366,0.143,0.457,,,,Rodrigo Amarante,112.195,mpb,1.0,
,,,,Tuyo (Narcos Theme) - A Netflix Original Series Soundtrack,,89293.0,,0.72,0.422,,-13.338,,0.069,0.474,0.0847,0.155,0.546,,,,Rodrigo Amarante,112.219,mpb,1.0,
,,,,Azul (Ao Vivo),,259066.0,,0.632,0.651,,-8.658,,0.0401,0.756,3.99e-06,0.726,0.652,,,,Djavan,119.567,mpb,1.0,
,,,,Apaga a Luz (feat. Olívia),,216446.0,,0.61,0.42,,-10.889,,0.0462,0.815,0.0,0.123,0.553,,,,Nicolas Candido;Olívia,96.313,mpb,1.0,
,,,,Pareço um Menino,,273906.0,,0.58,0.33,,-13.703,,0.0295,0.596,1.44e-06,0.0849,0.373,,,,Fábio Jr.,136.408,mpb,1.0,
,,,,Amado - Ao Vivo,,244426.0,,0.357,0.469,,-11.003,,0.043,0.848,0.000239,0.924,0.263,,,,Vanessa Da Mata,168.139,mpb,1.0,
,,,,FESTA JOVEM,,112052.0,,0.819,0.438,,-10.611,,0.303,0.378,0.0,0.37,0.809,,,,Lagum,130.099,mpb,1.0,
,,,,Identidade - Ao vivo,,231866.0,,0.581,0.721,,-9.86,,0.0441,0.612,0.000358,0.648,0.67,,,,Jorge Aragão,105.843,mpb,1.0,
,,,,Tendo A Lua - Ao Vivo,,200826.0,,0.492,0.794,,-5.823,,0.046,0.196,2.62e-06,0.873,0.683,,,,Os Paralamas Do Sucesso,167.815,mpb,1.0,
,,,,Sobre o Tempo,,207533.0,,0.633,0.551,,-12.294,,0.0427,0.00731,0.123,0.144,0.427,,,,Pato Fu,94.946,mpb,1.0,
,,,,Look To The Sky,,137933.0,,0.499,0.215,,-17.369,,0.031,0.898,0.913,0.0989,0.74,,,,Antônio Carlos Jobim,132.383,mpb,0.0,
,,,,Acenda o farol,,192026.0,,0.574,0.883,,-6.686,,0.136,0.0606,0.0,0.0524,0.692,,,,Tim Maia,123.095,mpb,0.0,
,,,,Monalisa,,222732.0,,0.773,0.873,,-4.955,,0.0486,0.482,1.87e-06,0.0995,0.636,,,,Jorge Vercillo,124.968,mpb,1.0,
,,,,Fácil - Acústico,,229540.0,,0.556,0.537,,-10.761,,0.0282,0.377,0.0,0.757,0.313,,,,Jota Quest,95.914,mpb,1.0,
,,,,Se eu lembro faz doer,,230706.0,,0.446,0.752,,-8.252,,0.0528,0.448,4.38e-05,0.121,0.476,,,,Tim Maia,132.938,mpb,0.0,
,,,,Eu Apenas Queria Que Você Soubesse,,155466.0,,0.559,0.505,,-9.446,,0.0335,0.737,0.0,0.0878,0.776,,,,Gonzaguinha,139.12,mpb,1.0,
,,,,Amor Maior - Acústico,,235385.0,,0.582,0.538,,-9.395,,0.0353,0.636,2.23e-06,0.868,0.355,,,,Jota Quest,76.008,mpb,1.0,
