Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,artist,bpm,genre,is_hit,artist_name
,,,,Triste,,181600.0,,0.568,0.396,,-13.921,,0.029,0.738,0.159,0.116,0.578,,,,Antônio Carlos Jobim,136.489,mpb,0.0,
,,,,O Vento - Acústico,,282891.0,,0.343,0.225,,-14.937,,0.0384,0.957,0.000249,0.661,0.101,,,,Jota Quest,144.533,mpb,1.0,
,,,,Telegrama,,236162.0,,0.826,0.226,,-14.557,,0.128,0.423,0.0,0.0889,0.487,,,,MAR ABERTO,92.434,mpb,1.0,
,,,,Garotos Ii (O Outro Lado) - Ao Vivo,,214000.0,,0.522,0.365,,-11.031,,0.0448,0.745,0.0,0.927,0.342,,,,Leoni;Dinho Ouro Preto,117.57,mpb,1.0,
,,,,Um Cara de Sorte,,244013.0,,0.524,0.636,,-5.884,,0.0302,0.163,0.0,0.11,0.247,,,,Detonautas Roque Clube,138.074,mpb,1.0,
,,,,Amor pra recomeçar,,214626.0,,0.564,0.856,,-4.994,,0.0363,0.215,0.0,0.337,0.726,,,,Frejat,120.528,mpb,1.0,
,,,,Favela,,154960.0,,0.457,0.224,,-19.476,,0.0344,0.715,1.2e-06,0.224,0.48,,,,Antônio Carlos Jobim,80.845,mpb,0.0,
,,,,Anjo - Ao Vivo,,194706.0,,0.533,0.574,,-8.145,,0.0264,0.176,2.77e-05,0.913,0.488,,,,Roupa Nova,107.895,mpb,1.0,
,,,,Outro Lugar,,236973.0,,0.616,0.833,,-7.932,,0.0323,0.0392,9.77e-05,0.801,0.553,,,,Detonautas Roque Clube,104.043,mpb,1.0,
,,,,Sangrando,,233733.0,,0.485,0.412,,-8.516,,0.037,0.597,0.0,0.117,0.221,,,,Gonzaguinha;Ivete Sangalo,91.489,mpb,1.0,
,,,,Neptune's Hep Tune,,133506.0,,0.548,0.412,,-10.248,,0.0333,0.807,0.934,0.127,0.325,,,,Antônio Carlos Jobim,79.512,mpb,0.0,
,,,,Vê se decide,,193866.0,,0.817,0.743,,-6.656,,0.0464,0.298,0.0,0.233,0.961,,,,Tim Maia,123.382,mpb,0.0,
,,,,Meu Amor Se Mudou pra Lua - Ao Vivo,,197511.0,,0.483,0.666,,-9.793,,0.0342,0.0623,0.0485,0.687,0.426,,,,Paula Toller,175.897,mpb,1.0,
,,,,Chão de Giz,,291022.0,,0.613,0.327,,-10.558,,0.03,0.767,1.37e-06,0.098,0.3,,,,Zé Ramalho;Paulinho Moska,140.993,mpb,1.0,
,,,,Bolinha de papel,,79000.0,,0.797,0.415,,-14.557,,0.0514,0.881,0.0,0.0873,0.965,,,,Antônio Carlos Jobim;Herbie Mann;João Gilberto,113.42,mpb,0.0,
,,,,Esperando Aviões,,222720.0,,0.592,0.37,,-9.482,,0.0318,0.817,5.68e-05,0.107,0.209,,,,Vander Lee,139.862,mpb,1.0,
,,,,The Girl From Ipanema,,200360.0,,0.541,0.321,,-14.418,,0.0329,0.714,0.00345,0.101,0.549,,,,Antônio Carlos Jobim;Frank Sinatra,133.537,mpb,0.0,
,,,,A Flor Que A Gente Assopra,,186160.0,,0.675,0.413,,-9.974,,0.0338,0.791,0.0,0.0928,0.504,,,,Almir Sater;Renato Teixeira,114.122,mpb,1.0,
,,,,Retalhos De Cetim,,233293.0,,0.411,0.61,,-6.444,,0.036,0.384,0.0,0.279,0.498,,,,Benito Di Paula,116.006,mpb,1.0,
,,,,Tudo azul,,218066.0,,0.565,0.61,,-13.236,,0.0372,0.568,0.0,0.245,0.921,,,,Lulu Santos,93.504,mpb,0.0,
,,,,Me diga,,255093.0,,0.533,0.905,,-5.858,,0.0612,0.238,6.12e-06,0.223,0.726,,,,Nando Reis,86.503,mpb,0.0,
,,,,Alcohol,,355440.0,,0.736,0.704,,-9.654,,0.0398,0.278,0.0,0.0966,0.96,,,,Jorge Ben Jor,97.378,mpb,0.0,
,,,,Um certo alguém,,213573.0,,0.684,0.708,,-11.404,,0.0299,0.513,2.19e-06,0.088,0.84,,,,Lulu Santos,134.685,mpb,0.0,
,,,,Construção,,383626.0,,0.479,0.722,,-5.615,,0.0299,0.24,1.18e-05,0.158,0.59,,,,Chico Buarque,126.726,mpb,0.0,
,,,,Espelhos D'Água,,175800.0,,0.617,0.568,,-10.731,,0.0279,0.0523,2.01e-05,0.152,0.526,,,,Dalto,113.571,mpb,1.0,
,,,,Tudo Por Nada,,264506.0,,0.654,0.593,,-8.189,,0.0284,0.043,1.36e-06,0.0555,0.555,,,,Paulo Ricardo,94.561,mpb,1.0,
,,,,Homem do espaço,,296200.0,,0.497,0.931,,-6.104,,0.126,0.0832,0.0,0.0513,0.95,,,,Jorge Ben Jor,197.08,mpb,0.0,
,,,,O Teatro Dos Vampiros - Ao Vivo Em São Paulo / 1999,,336733.0,,0.543,0.358,,-8.927,,0.151,0.546,0.0,0.226,0.441,,,,Legião Urbana,110.457,mpb,1.0,
,,,,Cegos do castelo,,258265.0,,0.357,0.706,,-5.879,,0.0302,0.345,0.0021,0.307,0.389,,,,Nando Reis,154.651,mpb,0.0,
,,,,Canteiros,,329429.0,,0.436,0.27,,-17.508,,0.0462,0.865,0.00127,0.189,0.421,,,,Fagner,140.012,mpb,1.0,
,,,,Deslizes,,252000.0,,0.54,0.394,,-15.022,,0.0284,0.244,0.0,0.316,0.49,,,,Fagner,136.48,mpb,1.0,
,,,,Os Alquimistas Estão Chegando Os Alquimistas,,193120.0,,0.546,0.85,,-8.415,,0.0498,0.449,0.000779,0.74,0.747,,,,Jorge Ben Jor,100.304,mpb,0.0,
,,,,Muito Estranho (Cuida Bem de Mim),,236666.0,,0.665,0.562,,-10.964,,0.0239,0.0211,0.000437,0.294,0.568,,,,Dalto,107.467,mpb,1.0,
,,,,Pensando Bem,,199906.0,,0.616,0.436,,-11.003,,0.0288,0.246,1.28e-05,0.107,0.264,,,,5 a Seco;Pedro Altério;Tó Brandileone,122.892,mpb,1.0,
,,,,Cabelo Bagunçado,,231000.0,,0.494,0.442,,-8.764,,0.106,0.437,0.00049,0.111,0.4,,,,Agnes Nunes;Neo Beats,89.506,mpb,1.0,
,,,,Melhor pensar,,205345.0,,0.665,0.431,,-7.119,,0.0306,0.416,0.0,0.174,0.698,,,,UM44K;Luan Otten,149.935,mpb,1.0,
,,,,La Belle de Jour,,232369.0,,0.551,0.308,,-10.455,,0.0347,0.922,0.000211,0.109,0.536,,,,Alceu Valença,101.146,mpb,1.0,
,,,,Carvoeiro,,264080.0,,0.71,0.447,,-9.281,,0.0306,0.0987,9.36e-05,0.105,0.543,,,,ANAVITÓRIA,125.947,mpb,1.0,
,,,,Árvore,,187216.0,,0.764,0.386,,-9.049,,0.0698,0.71,3.08e-05,0.0848,0.345,,,,Fran;Chico Chico,77.064,mpb,1.0,
,,,,Caleidoscópio - Ao Vivo,,256720.0,,0.567,0.494,,-11.309,,0.046,0.245,0.00132,0.712,0.547,,,,Os Paralamas Do Sucesso,175.448,mpb,1.0,
,,,,Paz E Amor,,201404.0,,0.683,0.541,,-8.623,,0.0448,0.565,1.48e-06,0.244,0.657,,,,Melim,139.967,mpb,1.0,
,,,,Mistério,,195344.0,,0.656,0.548,,-5.796,,0.0276,0.247,0.0,0.104,0.103,,,,Lado de Cá,133.064,mpb,1.0,
,,,,Morada,,176680.0,,0.383,0.145,,-14.822,,0.0314,0.929,6.72e-06,0.111,0.337,,,,Sandy,145.069,mpb,1.0,
,,,,Tudo por Você,,199020.0,,0.679,0.329,,-10.705,,0.0325,0.585,0.0,0.138,0.656,,,,Lado de Cá;Lays Barros,97.056,mpb,1.0,
,,,,Flor de Caña,,221669.0,,0.519,0.743,,-7.7,,0.122,0.416,0.0,0.0853,0.778,,,,Diogo Nogueira,185.842,mpb,1.0,
,,,,Luz Dos Olhos - Ao Vivo Em São Paulo / 2007,,306813.0,,0.467,0.694,,-6.637,,0.0304,0.46,0.0,0.747,0.336,,,,Nando Reis;Andrea Martins,91.008,mpb,1.0,
,,,,O Amanhã,,211706.0,,0.563,0.562,,-8.621,,0.0268,0.139,0.0,0.145,0.314,,,,Detonautas Roque Clube,149.984,mpb,1.0,
,,,,A Vida Não Erra,,185500.0,,0.549,0.599,,-6.791,,0.0313,0.283,0.0,0.153,0.711,,,,Vicka,157.737,mpb,1.0,
,,,,Pega A Visão,,162677.0,,0.624,0.549,,-8.035,,0.0364,0.746,0.0,0.0881,0.528,,,,Melim,84.976,mpb,1.0,
,,,,Agridoce,,157647.0,,0.762,0.782,,-4.169,,0.15,0.306,0.0,0.161,0.602,,,,Luiza Possi;Lulu Santos,102.058,mpb,1.0,
,,,,Geração Coca-Cola,,141400.0,,0.574,0.89,,-5.789,,0.041,0.082,0.0,0.0741,0.83,,,,Legião Urbana,97.9,mpb,1.0,
,,,,Eu Pra Você,,198071.0,,0.566,0.517,,-8.99,,0.0277,0.65,0.0,0.108,0.503,,,,Sandy;Melim,179.861,mpb,1.0,
,,,,O Sal Da Terra,,209226.0,,0.454,0.803,,-7.768,,0.0403,0.0378,1.03e-06,0.19,0.403,,,,Beto Guedes,106.251,mpb,1.0,
,,,,O Pato,,127720.0,,0.518,0.617,,-5.353,,0.152,0.836,0.0,0.0801,0.93,,,,MPB4,204.767,mpb,1.0,
,,,,"Lenda das Sereias, Rainha do Mar - Ao Vivo",,250400.0,,0.668,0.36,,-19.89,,0.0483,0.0933,3.3e-06,0.664,0.979,,,,Marisa Monte,154.385,mpb,1.0,
,,,,Aluga-Se,,158266.0,,0.71,0.823,,-8.713,,0.0901,0.467,0.0,0.0982,0.967,,,,Raul Seixas,143.138,mpb,1.0,
,,,,Amanhã ou Depois,,203466.0,,0.56,0.783,,-5.695,,0.0249,0.136,1.18e-05,0.329,0.734,,,,Nenhum De Nós,94.008,mpb,1.0,
,,,,Cowboy Fora Da Lei,,215426.0,,0.43,0.744,,-7.924,,0.0707,0.0491,0.0,0.295,0.812,,,,Raul Seixas,172.522,mpb,1.0,
,,,,Blusinha Branca,,298453.0,,0.601,0.899,,-6.713,,0.0651,0.213,0.0,0.721,0.779,,,,Papas Da Língua,170.098,mpb,1.0,
,,,,Chão de Giz,,285360.0,,0.277,0.427,,-9.124,,0.0308,0.703,0.000221,0.267,0.561,,,,Zé Ramalho,145.24,mpb,1.0,
,,,,Amuleto,,206585.0,,0.551,0.254,,-7.968,,0.0282,0.917,7.77e-06,0.104,0.382,,,,Tiê,94.616,mpb,1.0,
,,,,À Sua Maneira (De Música Ligera) (feat. Seu Jorge) - Ao Vivo,,267120.0,,0.582,0.813,,-4.558,,0.0295,0.0819,0.00119,0.902,0.345,,,,Capital Inicial;Seu Jorge,109.934,mpb,1.0,
,,,,Por Onde Andei - Ao Vivo,,235626.0,,0.386,0.819,,-7.89,,0.0523,0.131,8.36e-06,0.365,0.817,,,,Nando Reis;Cachorro Grande,172.034,mpb,1.0,
,,,,Façamos (Vamos Amar),,353346.0,,0.664,0.28,,-7.606,,0.0362,0.779,0.0,0.159,0.41,,,,Elza Soares;Chico Buarque,115.116,mpb,1.0,
,,,,Pra Você Guardei o Amor - Ao Vivo,,312733.0,,0.441,0.33,,-11.733,,0.0352,0.892,1.5e-05,0.922,0.381,,,,Nando Reis,142.014,mpb,1.0,
,,,,Gentileza - 2004 Digital Remaster,,167266.0,,0.659,0.47,,-7.808,,0.0272,0.611,0.0092,0.102,0.579,,,,Marisa Monte,145.988,mpb,1.0,
,,,,Enquanto Engoma A Calça,,213133.0,,0.655,0.759,,-9.235,,0.25,0.249,0.0,0.18,0.707,,,,Ednardo,97.455,mpb,1.0,
,,,,Romaria - Remasterizado,,243466.0,,0.505,0.346,,-10.3,,0.0263,0.6,2.5e-06,0.0787,0.377,,,,Renato Teixeira,92.412,mpb,1.0,
,,,,Papel de pão - Ao vivo,,241666.0,,0.492,0.775,,-9.836,,0.0373,0.653,0.0469,0.41,0.811,,,,Jorge Aragão,155.835,mpb,1.0,
,,,,Família,,249866.0,,0.558,0.683,,-6.061,,0.0807,0.0248,7.85e-05,0.062,0.624,,,,Titãs,79.508,mpb,0.0,
,,,,Domingo,,253666.0,,0.617,0.771,,-8.601,,0.0328,0.00832,0.000115,0.301,0.881,,,,Titãs,140.211,mpb,0.0,
,,,,A Dança,,242000.0,,0.759,0.389,,-13.917,,0.0648,0.00171,0.00175,0.1,0.68,,,,Legião Urbana,136.059,mpb,1.0,
,,,,A Carta,,240613.0,,0.636,0.607,,-5.054,,0.0243,0.522,1.1e-05,0.0978,0.423,,,,Renato Russo;Erasmo Carlos,93.144,mpb,1.0,
,,,,Falsa consideração - Ao vivo,,228413.0,,0.509,0.623,,-10.397,,0.0663,0.41,3.61e-06,0.893,0.496,,,,Jorge Aragão,105.736,mpb,1.0,
,,,,Toda Forma De Poder,,195066.0,,0.325,0.947,,-7.304,,0.115,0.174,0.0,0.116,0.593,,,,Engenheiros Do Hawaii,202.846,mpb,1.0,
,,,,Alice (Não me escreva aquela carta de amor),,188506.0,,0.585,0.7,,-8.591,,0.0847,0.085,0.245,0.103,0.951,,,,Kid Abelha,177.588,mpb,0.0,
,,,,Cheia De Charme,,261666.0,,0.752,0.661,,-6.133,,0.0292,0.496,4.58e-05,0.0746,0.842,,,,Guilherme Arantes,124.725,mpb,1.0,
,,,,Canto de Ossanha,,264533.0,,0.435,0.708,,-8.022,,0.0375,0.649,0.0021,0.741,0.729,,,,Casuarina,95.75,mpb,1.0,
,,,,Lágrimas e chuva,,273426.0,,0.706,0.8,,-9.421,,0.0516,0.0332,0.037,0.0488,0.725,,,,Kid Abelha,122.396,mpb,0.0,
,,,,Soldados,,290733.0,,0.589,0.432,,-14.089,,0.0361,0.00919,0.195,0.0949,0.605,,,,Legião Urbana,124.084,mpb,1.0,
,,,,Não vou me adaptar,,221733.0,,0.536,0.399,,-7.579,,0.0319,0.307,0.000327,0.105,0.476,,,,Titãs,81.371,mpb,0.0,
,,,,Teletema,,261359.0,,0.807,0.457,,-10.013,,0.0374,0.66,0.0391,0.181,0.418,,,,Kid Abelha,122.518,mpb,0.0,
,,,,"Na rua, na chuva, na fazenda (Casinha de sapé)",,224373.0,,0.754,0.495,,-10.966,,0.0322,0.106,0.00316,0.0685,0.807,,,,Kid Abelha,140.244,mpb,0.0,
,,,,Vinheta,,78184.0,,0.519,0.685,,-7.171,,0.0955,0.373,0.0,0.0629,0.745,,,,Clarice Falcão,115.929,mpb,1.0,
,,,,Pessoal Particular (Ao Vivo),,387720.0,,0.634,0.859,,-5.832,,0.0567,0.539,3.2e-05,0.693,0.64,,,,Seu Jorge,112.942,mpb,1.0,
,,,,Vem Morena,,197226.0,,0.751,0.444,,-13.842,,0.0377,0.434,0.0,0.303,0.956,,,,Luiz Gonzaga,116.401,mpb,1.0,
,,,,Sina,,221995.0,,0.703,0.347,,-10.079,,0.0552,0.593,1.54e-06,0.163,0.385,,,,IVYSON;Templo Sonoro,127.897,mpb,1.0,
,,,,Zero,,292906.0,,0.592,0.42,,-7.99,,0.0358,0.402,0.0,0.101,0.441,,,,Liniker e os Caramelows;Liniker;Caramelows,146.004,mpb,1.0,
,,,,Juntin,,179841.0,,0.817,0.565,,-7.947,,0.261,0.474,0.0,0.158,0.718,,,,Fran;Julio Secchin,125.976,mpb,1.0,
,,,,dois rios,,214054.0,,0.672,0.28,,-14.714,,0.0286,0.964,0.0157,0.0843,0.312,,,,ANAVITÓRIA,139.958,mpb,1.0,
,,,,Alguém Me Avisou/Acreditar/Sonho Meu,,304866.0,,0.585,0.574,,-8.751,,0.0925,0.565,0.0,0.368,0.895,,,,Dona Ivone Lara,91.096,mpb,1.0,
,,,,Banho de Piscina,,202213.0,,0.654,0.707,,-5.103,,0.0326,0.263,0.0,0.0736,0.7,,,,Clarice Falcão,126.038,mpb,1.0,
,,,,Nem um Dia (Ao Vivo),,335626.0,,0.561,0.663,,-7.047,,0.068,0.61,1.91e-05,0.811,0.651,,,,Djavan,79.596,mpb,1.0,
,,,,Último Romance,,257701.0,,0.446,0.442,,-7.367,,0.0266,0.684,0.0,0.0891,0.469,,,,Roberta Campos,144.994,mpb,1.0,
,,,,Ainda É Tudo Seu,,238306.0,,0.676,0.5,,-8.432,,0.0412,0.422,0.0,0.12,0.124,,,,Luiza Possi;Thiaguinho,117.987,mpb,1.0,
,,,,Destruição,,187274.0,,0.45,0.679,,-8.659,,0.0683,0.224,0.00114,0.107,0.263,,,,Sandy;OUTROEU,131.758,mpb,1.0,
,,,,EU E MINHAS PARANOIAS,,174957.0,,0.76,0.65,,-5.882,,0.026,0.0251,0.000904,0.518,0.906,,,,Lagum,105.951,mpb,1.0,
,,,,Tendo A Lua - Ao Vivo,,188853.0,,0.688,0.601,,-9.324,,0.0442,0.0905,0.000513,0.952,0.643,,,,Os Paralamas Do Sucesso;Pitty,81.128,mpb,1.0,
,,,,Hoje Eu Sei,,219215.0,,0.601,0.416,,-9.821,,0.0299,0.17,4.73e-05,0.0994,0.151,,,,Vanessa Da Mata,79.96,mpb,1.0,
,,,,Coração Bobo - Voz e Violão,,209876.0,,0.549,0.586,,-8.13,,0.0524,0.825,0.0,0.155,0.867,,,,Alceu Valença,112.987,mpb,1.0,
,,,,Gente Feliz - Ao Vivo,,246746.0,,0.694,0.648,,-9.311,,0.0507,0.022,0.000623,0.708,0.494,,,,Vanessa Da Mata,140.069,mpb,1.0,
,,,,Leve,,184682.0,,0.551,0.509,,-8.05,,0.0339,0.673,3.66e-06,0.211,0.552,,,,Sandy;Wanessa Camargo,160.018,mpb,1.0,
,,,,Laços,,240585.0,,0.602,0.889,,-6.072,,0.0717,0.15,3.31e-05,0.3,0.408,,,,Nando Reis;Ana Vilela,137.986,mpb,1.0,
,,,,Proibida Pra Mim,,195000.0,,0.65,0.361,,-10.614,,0.0328,0.722,0.0,0.097,0.54,,,,Zeca Baleiro,132.839,mpb,1.0,
,,,,Por Onde Você Anda?,,241400.0,,0.508,0.608,,-8.915,,0.034,0.197,0.00297,0.103,0.312,,,,Detonautas Roque Clube,160.212,mpb,1.0,
,,,,Vinte E Nove,,223933.0,,0.42,0.542,,-13.097,,0.036,0.02,0.0471,0.185,0.72,,,,Legião Urbana,129.726,mpb,1.0,
,,,,De Cada Vez,,215736.0,,0.548,0.323,,-9.942,,0.0256,0.721,0.0,0.0841,0.382,,,,Sandy;Agnes Nunes,94.834,mpb,1.0,
,,,,Pausa #Omundoprecisadepausa,,199500.0,,0.708,0.549,,-7.428,,0.0276,0.161,0.0,0.113,0.519,,,,Vicka,121.995,mpb,1.0,
,,,,Além do Que Se Vê,,230746.0,,0.718,0.498,,-7.171,,0.031,0.286,0.000326,0.157,0.767,,,,Los Hermanos,138.111,mpb,1.0,
,,,,Perdidos No Espaço,,177466.0,,0.572,0.567,,-12.398,,0.0388,0.0435,0.129,0.0966,0.768,,,,Legião Urbana,81.917,mpb,1.0,
,,,,O Meu Mundo Ficaria Completo (Com Você),,249132.0,,0.637,0.91,,-3.651,,0.0589,0.624,0.0,0.115,0.87,,,,Cássia Eller,168.029,mpb,1.0,
,,,,Alice (Não Me Escreva Aquela Carta de Amor) / Conspiração Internacional - Ao Vivo,,201613.0,,0.567,0.484,,-8.201,,0.0397,0.805,0.0,0.881,0.843,,,,Leoni,80.557,mpb,1.0,
,,,,Maria de Verdade,,235933.0,,0.728,0.52,,-11.185,,0.0277,0.241,0.000104,0.118,0.843,,,,Marisa Monte,98.059,mpb,1.0,
,,,,Mil e uma noites de amor,,352306.0,,0.614,0.949,,-6.93,,0.0386,0.146,2.17e-06,0.472,0.67,,,,Pepeu Gomes,107.955,mpb,1.0,
,,,,Coisa da pele - Ao vivo,,235866.0,,0.501,0.864,,-8.877,,0.0926,0.771,0.00384,0.979,0.745,,,,Jorge Aragão,102.493,mpb,1.0,
,,,,Inferno são os outros,,211706.0,,0.642,0.797,,-7.173,,0.0286,0.0899,1.38e-05,0.732,0.563,,,,Detonautas Roque Clube,110.055,mpb,1.0,
,,,,Canção Pra Pedir Perdão,,225517.0,,0.486,0.399,,-7.754,,0.0369,0.792,6.46e-05,0.132,0.459,,,,Renato Teixeira,115.028,mpb,1.0,
,,,,Se Eu Não Te Amasse Tanto Assim,,201137.0,,0.429,0.129,,-12.562,,0.0481,0.961,0.0,0.14,0.496,,,,Georgia Castro,200.122,mpb,1.0,
,,,,Foi Deus Quem Fez Você,,232973.0,,0.421,0.653,,-6.98,,0.0487,0.318,0.0,0.377,0.409,,,,Amelinha,133.596,mpb,1.0,
,,,,Baader-Meinhof Blues,,207533.0,,0.253,0.831,,-5.41,,0.0456,0.012,6.62e-05,0.508,0.657,,,,Legião Urbana,189.72,mpb,1.0,
,,,,Primavera,,262040.0,,0.339,0.624,,-4.755,,0.0313,0.421,1.36e-05,0.126,0.408,,,,Los Hermanos,200.332,mpb,1.0,
,,,,A Força do Amor - Ao Vivo,,267906.0,,0.525,0.774,,-8.649,,0.0451,0.121,0.0,0.935,0.721,,,,Roupa Nova,77.083,mpb,1.0,
,,,,Rosa Maria,,295133.0,,0.584,0.46,,-9.491,,0.0336,0.774,9.21e-05,0.147,0.681,,,,Milton Nascimento,151.995,mpb,0.0,
,,,,O Que Será (A Flor Da Pele),,247426.0,,0.431,0.366,,-12.371,,0.0354,0.689,0.0,0.434,0.258,,,,Milton Nascimento;Chico Buarque,112.096,mpb,0.0,
,,,,Iluminado,,237280.0,,0.466,0.613,,-8.69,,0.0284,0.43,7.06e-05,0.246,0.384,,,,Vander Lee,79.755,mpb,1.0,
,,,,Corcovado,,232786.0,,0.396,0.44,,-9.062,,0.0459,0.915,5.1e-05,0.697,0.18,,,,Elis Regina,105.145,mpb,0.0,
,,,,La Belle de Jour-Girassol - Ao Vivo,,424786.0,,0.326,0.581,,-10.868,,0.0384,0.286,0.000205,0.691,0.614,,,,Alceu Valença;Orquestra Ouro Preto,105.032,mpb,1.0,
,,,,Escrito Nas Estrelas,,218535.0,,0.762,0.441,,-12.038,,0.0429,0.415,0.0,0.157,0.584,,,,Tetê Espíndola,120.082,mpb,1.0,
,,,,Como Nossos Pais,,261600.0,,0.491,0.498,,-7.658,,0.0821,0.3,0.0,0.0734,0.478,,,,Elis Regina,143.721,mpb,0.0,
,,,,Beguine dodói,,134973.0,,0.728,0.333,,-16.162,,0.0791,0.69,0.0,0.0653,0.399,,,,Elis Regina,111.673,mpb,0.0,
,,,,Maior abandonado (Ao Vivo) - Live,,163693.0,,0.668,0.63,,-6.368,,0.041,0.256,0.0267,0.162,0.904,,,,Barão Vermelho,143.041,mpb,0.0,
,,,,Sabiá - Ao Vivo,,174760.0,,0.493,0.819,,-7.757,,0.117,0.575,0.0,0.724,0.624,,,,Alceu Valença;Elba Ramalho;Geraldo Azevedo,158.143,mpb,1.0,
,,,,Entre a Serpente e a Estrela (Amarillo By Money),,179866.0,,0.377,0.585,,-8.894,,0.0336,0.366,0.00451,0.242,0.579,,,,Zé Ramalho,119.943,mpb,1.0,
,,,,Final Feliz,,228093.0,,0.598,0.593,,-7.012,,0.0732,0.76,0.0,0.107,0.336,,,,Jorge Vercillo;Djavan,89.059,mpb,1.0,
,,,,Canto de Oxum / Inscrição,,314026.0,,0.424,0.056,,-20.06,,0.0517,0.898,0.000105,0.11,0.17,,,,Maria Bethânia,104.472,mpb,1.0,
,,,,Por Você,,211816.0,,0.622,0.33,,-6.492,,0.0291,0.464,0.0,0.0624,0.376,,,,Frejat,122.87,mpb,1.0,
,,,,Que Seja Pra Ficar,,222911.0,,0.779,0.372,,-10.136,,0.0333,0.635,0.000167,0.114,0.314,,,,Mariana Nolasco,113.921,mpb,1.0,
,,,,Coisas Dentro das Coisas,,180946.0,,0.391,0.286,,-10.177,,0.0572,0.733,0.0,0.0948,0.486,,,,5 a Seco,58.478,mpb,1.0,
,,,,Maktub,,217375.0,,0.644,0.418,,-8.199,,0.0283,0.402,5.34e-06,0.0959,0.245,,,,Kell Smith,139.898,mpb,1.0,
,,,,Aliança,,236970.0,,0.641,0.314,,-13.932,,0.032,0.96,3.61e-05,0.0991,0.335,,,,Tribalistas,132.983,mpb,1.0,
,,,,O último romântico,,252306.0,,0.716,0.494,,-14.118,,0.0288,0.62,1.28e-05,0.303,0.805,,,,Lulu Santos,129.864,mpb,1.0,
,,,,Louca - Ao Vivo,,184914.0,,0.619,0.44,,-10.019,,0.0715,0.178,1.21e-05,0.146,0.313,,,,Banda Eva;Maneva,130.414,mpb,1.0,
