"id","genres"
"6syQjkQSMIrzw5cFnNRheo","afrofuturismo brasileiro,brazilian hip hop,trap brasileiro"
"1KCSPY1glIKqW2TotWuXOR","dance pop,pop"
"64KEffDW9EtZ1y2vBYgq8T","brostep,edm,pop,progressive electro house"
"4DITWCDQL8b3VZTBYpNDR9",brazilian hip hop
"45Yz90pqjzEdJzpEQg1eII","brazilian hip hop,rap df"
"1MzXJ8AaHdidMAnjgcahS4",pop nacional
"3hteYQFiMFbJY7wS0xDymP",dark clubbing
"6vWDO969PvNqNYHIOW5v0m","pop,r&b"
"5p7f24Rk5HkUZsaS3BLG5F",pop
"3W10YNoIzqgJymjc5ULDzu",rap mineiro
"6eYFryfcEu3QSq59D62wZQ",
"6uW3jO0Wi5gBP0d5mrD40p",
"57Vnemieu10x71jR2UWc4o",
"7lpjzX5n0ka7cGEBi6xsKq",
"1T0F05F7TEo6QYr4vtGJdb",
"17TFSnqADESRM8BPSaM5aB",
"6dqohi36avY0M9urnyhITr",
"0TeVa4xdLB8vdzjsvKH6Ri",
"0veZkZPeWoJQ9gt6VAXlkN",
"3W3JovBaRZsYyIWY2FslWq",
"0nzfP49X2nrzmmkwZf180L",
"2FHS70d0Slskx7fTNkGRzF",
"6dS9sxlp4vf34zzi6TtQ8C",
"2PaZWGu5T5nHjY2xxAkFsT",
"4AVFqumd2ogHFlRbKIjp1t","dance pop,edm,pop,pop dance,progressive electro house"
"3b8QkneNDz4JHKKKlLgYZg","contemporary country,country,country pop,country road,modern country rock"
"4olE3I5QU0dvSR7LIpqTXc",modern alternative rock
"1oSgjdbgLYULVmEBojPRw8","agronejo,arrocha,sertanejo,sertanejo pop,sertanejo universitario"
"5pBMkZNIlbGTH3hrsQJqAa","funk carioca,funk ostentacao,funk paulista"
"0pcoadNMmvrUyab1RxWBoV","funk carioca,funk consciente,funk paulista"
"0du5cEVh5yTK9QJze8zA0C","dance pop,pop"
"6PvvGcCY2XtUcSRld1Wilr",neo soul
