track_name,artist,bpm,energy,danceability,valence,acousticness,instrumentalness,liveness,speechiness,loudness,duration_ms,genre,is_hit,groove_factor,commercial_appeal,energy_dance_ratio,vocal_presence,bpm_category,loudness_normalized,hit_potential_score,acoustic_electric_balance,is_music
Move Your Body,Öwnboss;Sevek,125.051,0.821,0.848,0.249,0.0169,0.000403,0.0962,0.0527,-5.408,157444.0,rnb_brasil,1,0.7787183333333332,0.64552,0.9568764568764568,0.999597,2.0,0.9098666666666666,0.6998519999999999,0.03380000000000005,1.0
"Amores, Vícios e Obsessões",BK;JXNV$,129.047,0.517,0.833,0.187,0.116,0.000142,0.116,0.301,-7.502,194478.0,rnb_brasil,1,0.6866783333333333,0.59978,0.6132858837485172,0.999858,2.0,0.8749666666666667,0.5856779999999999,0.23199999999999998,1.0
Pirate,Liu;GenX,125.005,0.781,0.72,0.307,0.00408,0.807,0.308,0.0609,-2.647,221775.0,rnb_brasil,1,0.7026416666666667,0.69633,1.0698630136986302,0.19299999999999995,2.0,0.9558833333333333,0.6533329999999999,0.008159999999999945,1.0
Helipa,Yago Oproprio,75.086,0.427,0.692,0.542,0.527,0.0,0.17,0.391,-10.733,202213.0,rnb_brasil,1,0.4992433333333333,0.7094699999999999,0.6082621082621082,1.0,0.0,0.8211166666666666,0.584247,0.946,0.0
Uma Linda Mulher,Xamã;Bagua Records;Luccas Carlos,89.974,0.616,0.704,0.161,0.299,0.0,0.0856,0.0818,-7.042,208000.0,rnb_brasil,1,0.5867566666666666,0.59398,0.8627450980392157,1.0,0.0,0.8826333333333333,0.557998,0.598,1.0
Expectativas,3030,136.937,0.507,0.75,0.897,0.798,0.0,0.31,0.058,-9.219,201459.0,rnb_brasil,1,0.6553283333333334,0.86661,0.6671052631578948,1.0,2.0,0.8463499999999999,0.718161,0.4039999999999999,1.0
Castelos & Ruínas,BK;Sain,117.031,0.584,0.799,0.404,0.103,1.11e-06,0.457,0.118,-8.157,249490.0,rnb_brasil,1,0.6697516666666666,0.6800300000000001,0.7218788627935723,0.99999889,1.0,0.8640500000000001,0.643603,0.20599999999999996,1.0
Zoio De Lula - Ao Vivo,Charlie Brown Jr.,87.785,0.866,0.632,0.835,0.0556,5.75e-06,0.518,0.0488,-5.445,224973.0,rnb_brasil,1,0.6221083333333333,0.87955,1.3489096573208723,0.99999425,0.0,0.90925,0.767555,0.11119999999999997,1.0
Rico E Bem Novin,UCLÃ;Sueth;Shoy;Mc IG,158.852,0.547,0.611,0.355,0.0717,0.0,0.157,0.439,-7.861,238000.0,rnb_brasil,1,0.6343533333333333,0.66339,0.8808373590982287,1.0,3.0,0.8689833333333333,0.545839,0.14339999999999997,0.0
Não Vai Voltar,Onze:20,139.942,0.617,0.641,0.941,0.413,0.0,0.112,0.0307,-7.411,239072.0,rnb_brasil,1,0.6388366666666667,0.90229,0.9477726574500768,1.0,2.0,0.8764833333333333,0.719929,0.826,1.0
Sua Presença - Ao Vivo,Isaias Saad,137.956,0.633,0.457,0.224,0.408,0.0,0.345,0.0315,-6.056,314154.0,rnb_brasil,1,0.5483266666666666,0.62904,1.3554603854389722,1.0,2.0,0.8990666666666667,0.48040400000000005,0.816,1.0
Bring Me To Life,Bruno Martini;David Hodges,117.973,0.829,0.75,0.631,0.16,0.00423,0.0858,0.0515,-6.72,141610.0,rnb_brasil,0,0.7203216666666665,0.7851999999999999,1.0907894736842105,0.99577,1.0,0.888,0.75342,0.32000000000000006,1.0
