track_name,artist,bpm,energy,danceability,valence,acousticness,instrumentalness,liveness,speechiness,loudness,duration_ms,genre,is_hit,groove_factor,commercial_appeal,energy_dance_ratio,vocal_presence,bpm_category,loudness_normalized,hit_potential_score,acoustic_electric_balance,is_music
Look To The Sky,Antônio Carlos Jobim,132.383,0.215,0.499,0.74,0.898,0.913,0.0989,0.031,-17.369,137933.0,rnb_brasil,0,0.43463833333333335,0.72231,0.4223968565815324,0.08699999999999997,2.0,0.7105166666666667,0.484331,0.20399999999999996,1.0
Mágico de Oz,Racionais MC's,79.316,0.634,0.575,0.783,0.461,0.0,0.3,0.36,-7.079,456840.0,rnb_brasil,1,0.5098933333333333,0.84241,1.083760683760684,1.0,0.0,0.8820166666666667,0.661041,0.922,0.0
Vem Me Buscar - Ao Vivo,Jefferson & Suellen,135.906,0.74,0.423,0.166,0.0206,0.0,0.523,0.0344,-5.309,418698.0,rnb_brasil,1,0.56001,0.61331,1.7090069284064666,1.0,2.0,0.9115166666666668,0.485731,0.041200000000000014,1.0
Venho a Ti,Luma Elpidio,124.211,0.414,0.374,0.196,0.0549,0.0,0.112,0.0344,-7.161,346044.0,rnb_brasil,1,0.4182183333333333,0.6067899999999999,1.078125,1.0,2.0,0.8806499999999999,0.373679,0.10980000000000001,1.0
Eu Amo a Tua Glória - Ao Vivo,Isaias Saad;Theo Rubia,133.879,0.519,0.368,0.183,0.598,1.11e-05,0.313,0.0448,-9.827,538613.0,rnb_brasil,1,0.46283166666666664,0.57493,1.373015873015873,0.9999889,2.0,0.8362166666666667,0.39699300000000004,0.804,1.0
Até te Encontrar - Ao Vivo,Rebeca Carvalho;Gabriela Rocha,138.093,0.619,0.254,0.311,0.526,0.0,0.692,0.0369,-6.779,576860.0,rnb_brasil,1,0.442855,0.6566099999999999,2.3446969696969697,1.0,2.0,0.8870166666666667,0.415161,0.948,1.0
O Que Meu Deus Vai Fazer,Weslei Santos,121.815,0.339,0.539,0.29,0.78,0.0,0.0889,0.0314,-10.969,269631.0,rnb_brasil,1,0.474225,0.6063099999999999,0.6174863387978142,1.0,2.0,0.8171833333333333,0.435931,0.43999999999999995,1.0
Fácil - Acústico,Jota Quest,95.914,0.537,0.556,0.313,0.377,0.0,0.757,0.0282,-10.761,229540.0,rnb_brasil,1,0.4989566666666667,0.6175900000000001,0.9487632508833922,1.0,1.0,0.8206500000000001,0.5078590000000001,0.754,1.0
Porta Do Teu Prédio,Maneva,141.985,0.637,0.751,0.559,0.429,0.0,0.143,0.256,-8.716,179031.0,rnb_brasil,1,0.7032416666666667,0.73644,0.8370565045992115,1.0,3.0,0.8547333333333333,0.676944,0.858,1.0
Seu Amor / Diante da Cruz,Isaias Saad;LUDI,71.374,0.24,0.333,0.251,0.836,4.72e-05,0.0963,0.0312,-12.006,497600.0,rnb_brasil,1,0.25745666666666667,0.58034,0.6997084548104956,0.9999528,0.0,0.7998999999999999,0.313434,0.32800000000000007,1.0
Foi Deus,Davi Sacer,117.878,0.492,0.612,0.5,0.435,0.0,0.559,0.0476,-6.956,453941.0,rnb_brasil,1,0.5500633333333333,0.73044,0.7909967845659164,1.0,1.0,0.8840666666666667,0.565444,0.87,1.0
Redentor,Marcelo Markes;Sarah Beatriz,131.816,0.706,0.43,0.085,0.235,0.0,0.107,0.0538,-7.743,382272.0,rnb_brasil,1,0.5464933333333333,0.55657,1.6045454545454545,1.0,2.0,0.87095,0.45645700000000006,0.47,1.0
O Que Sua Glória Fez Comigo,Fernanda Brum,140.192,0.597,0.279,0.365,0.405,0.0,0.697,0.0398,-6.269,399243.0,rnb_brasil,1,0.45225333333333334,0.6833100000000001,2.0657439446366777,1.0,3.0,0.8955166666666667,0.43203100000000005,0.81,1.0
Outro Lugar,Detonautas Roque Clube,104.043,0.833,0.616,0.553,0.0392,9.77e-05,0.801,0.0323,-7.932,236973.0,rnb_brasil,1,0.631305,0.7418800000000001,1.3306709265175718,0.9999023,1.0,0.8678,0.681088,0.07840000000000003,1.0
Deus do Impossível (Ao Vivo em Mojave Desert),Aline Barros,136.186,0.429,0.326,0.148,0.51,7.85e-06,0.114,0.0358,-8.561,209293.0,rnb_brasil,1,0.41867666666666664,0.5735899999999999,1.2767857142857142,0.99999215,2.0,0.8573166666666666,0.346059,0.98,1.0
Neptune's Hep Tune,Antônio Carlos Jobim,79.512,0.412,0.548,0.325,0.807,0.934,0.127,0.0333,-10.248,133506.0,rnb_brasil,0,0.43012,0.6275200000000001,0.7383512544802866,0.06599999999999995,0.0,0.8292,0.470552,0.3859999999999999,1.0
Triste,Antônio Carlos Jobim,136.489,0.396,0.568,0.578,0.738,0.159,0.116,0.029,-13.921,181600.0,rnb_brasil,0,0.5302816666666667,0.69199,0.685121107266436,0.841,2.0,0.7679833333333334,0.5307989999999999,0.524,1.0
Chão de Giz,Zé Ramalho;Paulinho Moska,140.993,0.327,0.613,0.3,0.767,1.37e-06,0.098,0.03,-10.558,291022.0,rnb_brasil,1,0.5395883333333333,0.61442,0.5248796147672552,0.99999863,3.0,0.8240333333333333,0.464742,0.46599999999999997,1.0
Em Teu Altar,Walmir Alencar,98.093,0.256,0.627,0.259,0.754,0.0,0.127,0.0264,-9.31,253853.0,rnb_brasil,1,0.45378833333333335,0.6105,0.40188383045525905,1.0,1.0,0.8448333333333333,0.44045,0.492,1.0
Labareda - Ao Vivo,Jefferson & Suellen,133.038,0.843,0.348,0.306,0.116,0.0,0.105,0.08,-6.963,269282.0,rnb_brasil,1,0.54863,0.6527700000000001,2.3547486033519553,1.0,2.0,0.88395,0.518577,0.23199999999999998,1.0
Favela,Antônio Carlos Jobim,80.845,0.224,0.457,0.48,0.715,1.2e-06,0.224,0.0344,-19.476,154960.0,rnb_brasil,0,0.3304416666666667,0.59724,0.47965738758029974,0.9999988,0.0,0.6754,0.405724,0.5700000000000001,1.0
Você Não Imagina,Delino Marçal;Midian Lima,116.349,0.526,0.504,0.342,0.273,0.0,0.15,0.0317,-6.724,318020.0,rnb_brasil,1,0.503715,0.6695599999999999,1.0233463035019454,1.0,1.0,0.8879333333333332,0.49475600000000003,0.546,1.0
The Girl From Ipanema,Antônio Carlos Jobim;Frank Sinatra,133.537,0.321,0.541,0.549,0.714,0.00345,0.101,0.0329,-14.418,200360.0,rnb_brasil,0,0.4893616666666667,0.67542,0.5825771324863883,0.99655,2.0,0.7597,0.49004200000000003,0.5720000000000001,1.0
Nas Asas do Senhor (feat. Celina Borges),Padre Fábio De Melo;Celina Borges,121.747,0.339,0.404,0.166,0.374,0.0,0.165,0.0299,-8.739,303973.0,rnb_brasil,1,0.4066116666666667,0.5790099999999999,0.8188405797101449,1.0,2.0,0.8543499999999999,0.354401,0.748,1.0
Bolinha de papel,Antônio Carlos Jobim;Herbie Mann;João Gilberto,113.42,0.415,0.797,0.965,0.881,0.0,0.0873,0.0514,-14.557,79000.0,rnb_brasil,0,0.6120333333333333,0.84043,0.5142503097893432,1.0,1.0,0.7573833333333333,0.7203430000000001,0.238,1.0
Águas Purificadoras/Oceanos - Ao Vivo,Isaias Saad;John Dias,133.989,0.523,0.395,0.215,0.601,0.0,0.683,0.0349,-8.592,398188.0,rnb_brasil,1,0.47771500000000006,0.60008,1.291358024691358,1.0,2.0,0.8568,0.41790800000000006,0.798,1.0
Sacramento da Comunhão (Ao Vivo),Nelsinho Corrêa;Ana Lúcia,137.517,0.445,0.28,0.285,0.705,0.0,0.797,0.0319,-9.826,341787.0,rnb_brasil,1,0.402695,0.61574,1.5344827586206895,1.0,2.0,0.8362333333333333,0.364074,0.5900000000000001,1.0
Acalma Minha Tempestade,Frei Gilson,134.014,0.907,0.538,0.345,0.0567,9.07e-06,0.178,0.0515,-6.877,384850.0,rnb_brasil,1,0.6644566666666667,0.66923,1.655109489051095,0.99999093,2.0,0.8853833333333333,0.623223,0.11339999999999995,1.0
Árvore Cortada,Valesca Mayssa,138.32,0.458,0.387,0.346,0.297,0.0,0.117,0.0344,-9.953,423915.0,rnb_brasil,1,0.4614333333333333,0.6388699999999999,1.1536523929471032,1.0,2.0,0.8341166666666666,0.42528699999999997,0.594,1.0
Eu Não Sou Mais Órfão - Acústico,Gabriel Brito,141.761,0.266,0.535,0.158,0.768,0.0,0.109,0.0275,-8.483,208810.0,rnb_brasil,1,0.4835683333333333,0.5783699999999999,0.4880733944954128,1.0,3.0,0.8586166666666666,0.38323700000000005,0.46399999999999997,1.0
Não Adoro por Sinais,Gabriel Brito,130.015,0.463,0.598,0.382,0.588,0.0,0.114,0.0285,-8.995,203264.0,rnb_brasil,1,0.5545916666666666,0.66285,0.761513157894737,1.0,2.0,0.8500833333333334,0.520785,0.8240000000000001,1.0
Consagração / Louvor ao Rei,Aline Barros,119.991,0.509,0.52,0.321,0.425,1.15e-06,0.082,0.0301,-9.116,381318.0,rnb_brasil,1,0.5126850000000001,0.63724,0.960377358490566,0.99999885,1.0,0.8480666666666666,0.48862400000000006,0.85,1.0
Me diga,Nando Reis,86.503,0.905,0.533,0.726,0.238,6.12e-06,0.223,0.0612,-5.858,255093.0,rnb_brasil,0,0.5821716666666668,0.83182,1.6666666666666665,0.99999388,0.0,0.9023666666666668,0.713082,0.476,1.0
Tudo Posso,Padre Fábio De Melo,141.488,0.277,0.311,0.196,0.715,1.35e-06,0.116,0.0326,-15.608,335640.0,rnb_brasil,1,0.3744133333333334,0.5223199999999999,0.8629283489096574,0.99999865,3.0,0.7398666666666666,0.29893200000000003,0.5700000000000001,1.0
Todos Os Meus Dias - Ao Vivo,Gabriel Guedes de Almeida,138.057,0.656,0.509,0.409,0.0315,2.12e-06,0.102,0.0327,-7.574,204700.0,rnb_brasil,1,0.581395,0.6878599999999999,1.2639691714836223,0.99999788,2.0,0.8737666666666667,0.550986,0.06299999999999994,1.0
A feira,O Rappa,97.983,0.886,0.713,0.9,0.0012,7.68e-06,0.0496,0.0411,-7.75,239533.0,rnb_brasil,0,0.685605,0.8825000000000001,1.2254495159059475,0.99999232,1.0,0.8708333333333333,0.81925,0.0023999999999999577,1.0
Cegos do castelo,Nando Reis,154.651,0.706,0.357,0.389,0.345,0.0021,0.307,0.0302,-5.879,258265.0,rnb_brasil,0,0.5480516666666667,0.6968099999999999,1.9237057220708447,0.9979,3.0,0.9020166666666667,0.502081,0.69,1.0
Deus do Impossível,Ministério Apascentar de Nova Iguaçu,139.261,0.452,0.418,0.225,0.762,0.0,0.822,0.0304,-7.619,279057.0,rnb_brasil,1,0.4767016666666667,0.61381,1.0560747663551402,1.0,2.0,0.8730166666666667,0.409181,0.476,1.0
de volta ao início,Sotam;Rob;enzo dicarlo,80.33,0.415,0.734,0.493,0.14,1.91e-05,0.135,0.451,-8.758,149161.0,rnb_brasil,1,0.5253833333333333,0.70962,0.5577956989247311,0.9999809,0.0,0.8540333333333334,0.587662,0.28,0.0
Só Uma Noite,Fabio Brazza;Péricles,83.489,0.599,0.795,0.618,0.265,0.0,0.0914,0.255,-7.001,230157.0,rnb_brasil,1,0.6163483333333334,0.77719,0.7440993788819875,1.0,0.0,0.8833166666666667,0.6990190000000001,0.53,1.0
"Lamentável, Pt. III",Froid;Cynthia Luz,69.95,0.564,0.663,0.351,0.57,0.0,0.204,0.384,-6.357,210517.0,rnb_brasil,1,0.5172833333333333,0.6768299999999999,0.838038632986627,1.0,0.0,0.89405,0.5722830000000001,0.8600000000000001,0.0
Só Por Uma Noite - Ao Vivo,Charlie Brown Jr.,114.873,0.94,0.568,0.738,0.0366,0.00314,0.735,0.0402,-6.414,190400.0,rnb_brasil,1,0.6574549999999999,0.83106,1.6262975778546713,0.99686,1.0,0.8931,0.7399060000000001,0.07320000000000004,1.0
CRUPIÊ,Sotam;JOTA,80.036,0.339,0.705,0.557,0.752,5.51e-05,0.137,0.41,-11.382,157750.0,rnb_brasil,1,0.4875933333333333,0.70898,0.4741258741258742,0.9999449,0.0,0.8103,0.565998,0.496,0.0
"Crônicas de Um Babaca, Vol. 1",Zarastruta;DJ Cost,89.831,0.603,0.707,0.396,0.793,0.0,0.116,0.461,-8.787,174666.0,rnb_brasil,1,0.5841183333333333,0.67053,0.8410041841004184,1.0,0.0,0.85355,0.6099530000000001,0.4139999999999999,0.0
O Próximo Nascer do Sol,BK;JXNV$,89.843,0.732,0.618,0.434,0.622,0.0,0.141,0.374,-5.594,186806.0,rnb_brasil,1,0.5783383333333333,0.71766,1.1656050955414012,1.0,0.0,0.9067666666666666,0.625366,0.756,0.0
Sigo na Sombra,BK;El Lif Beatz,84.223,0.731,0.633,0.683,0.417,0.0,0.344,0.353,-5.036,195324.0,rnb_brasil,1,0.5761716666666667,0.82284,1.1368584758942457,1.0,0.0,0.9160666666666667,0.6913840000000001,0.834,0.0
Mil Faces de um Homem Leal (Marighella),Racionais MC's,95.1,0.716,0.716,0.378,0.622,0.0,0.427,0.382,-8.52,598736.0,rnb_brasil,1,0.6313,0.666,0.9862258953168044,1.0,1.0,0.8580000000000001,0.6434,0.756,0.0
Hoje Livre Sou,Ministério Adoração e Vida,147.919,0.522,0.475,0.227,0.458,0.0,0.146,0.0271,-3.32,271960.0,rnb_brasil,1,0.5406316666666667,0.6576,1.0762886597938146,1.0,3.0,0.9446666666666667,0.45776,0.916,1.0
Comunista Elegante,Yago Oproprio;Patricio Sid,119.041,0.397,0.905,0.383,0.633,1.05e-05,0.11,0.154,-12.199,165378.0,rnb_brasil,1,0.6700016666666666,0.63121,0.43387978142076505,0.9999895,1.0,0.7966833333333334,0.6208210000000001,0.734,1.0
Fumaça (Ao Vivo),Casa Worship;Léo Brandão;Julliany Souza,134.471,0.792,0.274,0.212,0.0657,0.0,0.681,0.0663,-8.035,408805.0,rnb_brasil,1,0.4987183333333334,0.60445,2.788732394366197,1.0,2.0,0.8660833333333334,0.45004500000000003,0.13139999999999996,1.0
Luz da Lua,Oriente;Ferrugem,125.038,0.82,0.76,0.712,0.44,0.0,0.0596,0.037,-3.521,203520.0,rnb_brasil,1,0.7343966666666667,0.8495900000000001,1.0649350649350648,1.0,2.0,0.9413166666666667,0.777359,0.88,1.0
Seu Amor Me Persegue (Studio),Casa Worship;Julliany Souza,133.784,0.603,0.364,0.0886,0.0217,7.67e-05,0.0898,0.0356,-9.079,445970.0,rnb_brasil,1,0.4858733333333333,0.54465,1.6122994652406417,0.9999233,2.0,0.8486833333333333,0.398685,0.043399999999999994,1.0
"Aguente, Guerreiro",Anderson Freire;Midian Lima,89.533,0.542,0.327,0.291,0.129,0.0,0.0945,0.0523,-8.352,307750.0,rnb_brasil,1,0.37532166666666666,0.6328799999999999,1.6083086053412463,1.0,0.0,0.8607999999999999,0.41488800000000003,0.258,1.0
Seja Forte,Isadora Pompeo,128.132,0.609,0.567,0.276,0.00399,2.67e-06,0.106,0.0322,-5.453,253866.0,rnb_brasil,1,0.5797533333333333,0.65587,1.0554592720970537,0.99999733,2.0,0.9091166666666666,0.530287,0.007979999999999987,1.0
Se eu lembro faz doer,Tim Maia,132.938,0.752,0.446,0.476,0.448,4.38e-05,0.121,0.0528,-8.252,230706.0,rnb_brasil,0,0.5701633333333334,0.70788,1.6491228070175439,0.9999562,2.0,0.8624666666666666,0.569988,0.896,1.0
Senhor fazei de mim (Um instrumento de tua paz),Marcelo Falcão,108.03,0.571,0.649,0.659,0.241,1.08e-05,0.172,0.027,-6.198,140466.0,rnb_brasil,1,0.57585,0.80162,0.8664643399089529,0.9999892,1.0,0.8966999999999999,0.642862,0.482,1.0
Sobre o Tempo,Pato Fu,94.946,0.551,0.633,0.427,0.00731,0.123,0.144,0.0427,-12.294,207533.0,rnb_brasil,1,0.5400433333333333,0.64786,0.8569206842923796,0.877,1.0,0.7951,0.568686,0.014619999999999966,1.0
Acenda o farol,Tim Maia,123.095,0.883,0.574,0.692,0.0606,0.0,0.0524,0.136,-6.686,192026.0,rnb_brasil,0,0.6570583333333333,0.8099399999999999,1.5119863013698631,1.0,2.0,0.8885666666666666,0.7138939999999999,0.12119999999999997,1.0
Vou Deixar na Cruz,Cassiane,136.085,0.67,0.292,0.182,0.56,0.0,0.0803,0.0395,-5.685,334692.0,rnb_brasil,1,0.47380833333333333,0.61595,2.218543046357616,1.0,2.0,0.90525,0.415795,0.8799999999999999,1.0
Como És Lindo - Ao Vivo,Vida Reluz,96.158,0.232,0.267,0.103,0.712,0.0,0.538,0.0301,-14.365,238760.0,rnb_brasil,1,0.26336333333333334,0.49754999999999994,0.8375451263537906,1.0,1.0,0.7605833333333333,0.246755,0.5760000000000001,1.0
Desde Quando Você Se Foi,Fresno,130.024,0.902,0.575,0.601,0.077,0.0,0.359,0.0321,-3.092,216226.0,rnb_brasil,1,0.6748066666666668,0.80948,1.541880341880342,1.0,2.0,0.9484666666666667,0.7017479999999999,0.15400000000000003,1.0
Pescador de ilusões - Ao vivo acústico,O Rappa,106.628,0.806,0.385,0.693,0.237,0.00566,0.933,0.0398,-8.967,306266.0,rnb_brasil,1,0.5120133333333333,0.78753,2.0405063291139243,0.99434,1.0,0.85055,0.613153,0.474,1.0
Tu És Fiel,Marcelo Markes;Juliano Son,140.443,0.449,0.314,0.127,0.23,6.35e-05,0.0939,0.0281,-9.442,301276.0,rnb_brasil,1,0.42577166666666666,0.55638,1.3858024691358024,0.9999365,3.0,0.8426333333333333,0.341338,0.45999999999999996,1.0
Amor pra recomeçar,Frejat,120.528,0.856,0.564,0.726,0.215,0.0,0.337,0.0363,-4.994,214626.0,rnb_brasil,1,0.63968,0.84046,1.491289198606272,1.0,2.0,0.9167666666666666,0.711646,0.42999999999999994,1.0
Pai Nosso - Ao Vivo,Padre Marcelo Rossi,183.259,0.624,0.189,0.282,0.0877,0.0,0.0628,0.045,-7.389,213866.0,rnb_brasil,1,0.4817,0.63891,3.135678391959799,1.0,3.0,0.8768499999999999,0.38309100000000007,0.1754,1.0
Em Teus Braços - Acústico,Lukas Agustinho,62.518,0.485,0.396,0.739,0.615,0.0,0.151,0.0344,-8.249,255600.0,rnb_brasil,1,0.3476966666666667,0.81311,1.1945812807881773,1.0,0.0,0.8625166666666666,0.533011,0.77,1.0
Com Muito Louvor,Cassiane,138.701,0.681,0.359,0.324,0.528,0.0,0.665,0.0361,-5.821,382014.0,rnb_brasil,1,0.5149683333333334,0.67139,1.845528455284553,1.0,2.0,0.9029833333333334,0.479839,0.944,1.0
Eu Vou Construir,Nívea Soares,139.701,0.443,0.436,0.314,0.357,0.0,0.362,0.029,-10.068,409459.0,rnb_brasil,1,0.483735,0.62492,0.9932735426008968,1.0,2.0,0.8322,0.43259200000000003,0.714,1.0
Eu Não Perdi o Controle (Ao Vivo),Samuel Messias,123.648,0.51,0.516,0.332,0.138,0.0,0.0721,0.0349,-9.462,437324.0,rnb_brasil,1,0.51708,0.63818,0.9695817490494296,1.0,2.0,0.8422999999999999,0.48961800000000005,0.276,1.0
Aclame ao Senhor - Ao Vivo,Diante do Trono,119.52,0.486,0.309,0.232,0.778,0.0,0.117,0.0359,-8.155,455106.0,rnb_brasil,1,0.3995,0.61125,1.5235109717868338,1.0,1.0,0.8640833333333333,0.37692499999999995,0.44399999999999995,1.0
Nas Asas do Senhor,Alessandra Salles;Eros Biondini,123.858,0.537,0.46,0.409,0.652,1.65e-06,0.134,0.029,-6.989,289840.0,rnb_brasil,1,0.49753000000000003,0.6937099999999999,1.1425531914893616,0.99999835,2.0,0.8835166666666667,0.496271,0.696,1.0
Jeová Jireh,Aline Barros,133.928,0.758,0.4,0.114,0.00438,0.0,0.229,0.0534,-7.683,390953.0,rnb_brasil,1,0.5506133333333334,0.56877,1.848780487804878,1.0,2.0,0.87195,0.467077,0.00875999999999999,1.0
Oh Meu Deus,Projota,149.966,0.796,0.727,0.422,0.00149,0.000221,0.468,0.0445,-4.224,181528.0,rnb_brasil,0,0.7522433333333334,0.7265599999999999,1.0800542740841248,0.999779,3.0,0.9296,0.686656,0.0029799999999999827,1.0
Teus Sonhos - Ao Vivo,Fernandinho,147.988,0.787,0.384,0.332,0.00732,1.38e-06,0.746,0.0371,-6.117,279906.0,rnb_brasil,1,0.5747466666666667,0.6716300000000001,1.99746192893401,0.99999862,3.0,0.89805,0.523263,0.014639999999999986,1.0
Acaso Não Sabeis - Ao Vivo,Colo de Deus,124.424,0.555,0.358,0.277,0.685,0.0,0.141,0.0407,-7.033,400573.0,rnb_brasil,1,0.45287333333333335,0.64047,1.5081521739130437,1.0,2.0,0.8827833333333334,0.429147,0.6299999999999999,1.0
Dias de Guerra,Valesca Mayssa;Stella Laura,137.845,0.616,0.568,0.391,0.366,0.0,0.119,0.0351,-5.372,294312.0,rnb_brasil,1,0.5985416666666666,0.70268,1.0657439446366783,1.0,2.0,0.9104666666666666,0.560468,0.732,1.0
Descansarei,Comunidade Evangélica de Maringá,139.877,0.405,0.461,0.139,0.262,0.0,0.606,0.0289,-11.424,386773.0,rnb_brasil,1,0.4851283333333334,0.54136,0.8598726114649682,1.0,2.0,0.8096,0.387836,0.524,1.0
Pode Dormir Tranquilo,Kellen Byanca,125.822,0.524,0.716,0.273,0.457,0.0,0.0733,0.0349,-5.097,288457.0,rnb_brasil,1,0.6249033333333334,0.6582300000000001,0.7217630853994491,1.0,2.0,0.91505,0.5640229999999999,0.914,1.0
Hoje Livre Sou - Ao Vivo,Ministério Adoração e Vida,76.003,0.501,0.52,0.372,0.608,0.0,0.112,0.0256,-4.288,272133.0,rnb_brasil,1,0.43697166666666665,0.7059200000000001,0.9452830188679244,1.0,0.0,0.9285333333333334,0.5032920000000001,0.784,1.0
O Teatro Dos Vampiros - Ao Vivo Em São Paulo / 1999,Legião Urbana,110.457,0.358,0.543,0.441,0.546,0.0,0.226,0.151,-8.927,336733.0,rnb_brasil,1,0.462995,0.6871299999999999,0.647377938517179,1.0,1.0,0.8512166666666666,0.48151299999999997,0.9079999999999999,1.0
Eu Te Levantarei,Frei Gilson,167.695,0.546,0.286,0.223,0.386,5.2e-06,0.122,0.0313,-6.555,355573.0,rnb_brasil,1,0.4862916666666666,0.62365,1.8445945945945947,0.9999948,3.0,0.89075,0.385165,0.772,1.0
Adorador por Excelência,Nani Azevedo,179.995,0.364,0.376,0.389,0.817,0.0,0.794,0.0347,-10.742,333546.0,rnb_brasil,1,0.4971916666666667,0.64818,0.9430051813471502,1.0,3.0,0.8209666666666666,0.402218,0.3660000000000001,1.0
Vê se decide,Tim Maia,123.382,0.743,0.817,0.961,0.298,0.0,0.233,0.0464,-6.656,193866.0,rnb_brasil,0,0.7370366666666667,0.91784,0.8984280532043531,1.0,2.0,0.8890666666666667,0.833684,0.596,1.0
Tudo é do Pai - ao vivo,Padre Fábio De Melo,138.207,0.35,0.542,0.373,0.871,0.0,0.246,0.0313,-13.945,257013.0,rnb_brasil,1,0.506345,0.60975,0.6340579710144927,1.0,2.0,0.7675833333333333,0.45737500000000003,0.258,1.0
Que Se Abram os Céus - Ao Vivo,Nívea Soares,128.146,0.644,0.498,0.209,0.0368,0.0,0.683,0.0339,-6.284,471733.0,rnb_brasil,1,0.5557766666666667,0.62076,1.2677165354330708,1.0,2.0,0.8952666666666667,0.49627600000000005,0.0736,1.0
Um certo alguém,Lulu Santos,134.685,0.708,0.684,0.84,0.513,2.19e-06,0.088,0.0299,-11.404,213573.0,rnb_brasil,0,0.678875,0.82196,1.0201729106628241,0.99999781,2.0,0.8099333333333334,0.7361960000000001,0.974,1.0
Tudo azul,Lulu Santos,93.504,0.61,0.565,0.921,0.568,0.0,0.245,0.0372,-13.236,218066.0,rnb_brasil,0,0.52134,0.83604,1.0608695652173914,1.0,1.0,0.7794,0.676804,0.8640000000000001,1.0
Saudade de casa - Ao Vivo,Jefferson & Suellen,134.521,0.472,0.229,0.164,0.309,0.0,0.521,0.0353,-8.51,321977.0,rnb_brasil,1,0.38030166666666665,0.5805,1.9748953974895396,1.0,2.0,0.8581666666666667,0.32405,0.618,1.0
Codeine,Mandragora,140.004,0.532,0.495,0.0514,0.0227,0.354,0.331,0.0528,-8.846,329125.0,rnb_brasil,1,0.54044,0.5320999999999999,1.0534653465346535,0.646,3.0,0.8525666666666666,0.42109,0.045399999999999996,1.0
