track_name,artist_name,bpm,energy,danceability,valence,acousticness,instrumentalness,liveness,speechiness,loudness,is_hit
Lo Que Tú y Yo Vivimos (feat. Gente de Zona) - Ao Vivo,Gusttavo Lima,92.013,0.915,0.673,0.41,0.224,0.0,0.933,0.102,-4.002,0
Se Eu Escapar - Ao Vivo,Maiara & Maraisa,128.0,0.665,0.797,0.921,0.572,0.0,0.281,0.0527,-4.636,0
Tudo Ok,Thiaguinho MT,79.975,0.755,0.814,0.963,0.239,0.0,0.306,0.0942,-6.164,1
Amor de Que,Pabllo Vittar,139.988,0.819,0.737,0.904,0.0726,0.0,0.36,0.0446,-5.056,1
Surtada - Remix Brega Funk,Dadá Boladão,154.064,0.55,0.832,0.881,0.249,8.17e-06,0.182,0.0587,-7.026,1
Dancin (feat. Luvli) - Krono Remix,Aaron Smith,119.896,0.741,0.72,0.357,0.101,1.41e-05,0.289,0.0287,-6.529,1
Can't Get Over You,KVSH,123.002,0.795,0.714,0.347,0.013,2.33e-05,0.0917,0.0354,-4.621,1
Parabéns,Pabllo Vittar,170.106,0.856,0.723,0.688,0.00687,2.48e-06,0.397,0.0562,-5.596,1
Tutu - Remix,Camilo,154.111,0.763,0.731,0.865,0.382,7.07e-06,0.0754,0.0433,-3.6,1
Sou Eu,Dennis DJ,106.714,0.784,0.872,0.819,0.281,0.0,0.0703,0.372,-4.126,0
A Gente Fez Amor - Ao Vivo,Gusttavo Lima,134.012,0.937,0.793,0.827,0.366,4.27e-06,0.962,0.0336,-2.44,1
Apimentadíssima,Dennis DJ,149.836,0.824,0.856,0.677,0.225,0.00113,0.0748,0.293,-4.504,0
On & On,Alok,125.07,0.776,0.747,0.67,0.0233,1.38e-05,0.761,0.0722,-5.898,1
Carreira Solo - Ao Vivo,Gusttavo Lima,126.957,0.933,0.806,0.916,0.409,0.0,0.871,0.0376,-1.152,1
Pro Dia Nascer Feliz,Jetlag Music,124.016,0.846,0.67,0.589,0.164,0.0,0.113,0.0884,-6.543,0
Motivation,Normani,170.918,0.887,0.599,0.881,0.0192,1.21e-06,0.3,0.0984,-3.967,1
Me Gusta,Shakira,92.007,0.696,0.775,0.775,0.0559,0.00184,0.157,0.0681,-5.184,1
Favela,Alok,103.023,0.812,0.777,0.283,0.0125,0.00233,0.0264,0.0598,-3.206,1
Kenny G,Matuê,72.573,0.767,0.417,0.152,0.0778,0.0,0.113,0.194,-3.31,1
Joga Esse Rabão pro Pai,Dennis DJ,106.794,0.585,0.643,0.438,0.205,2.42e-06,0.0876,0.145,-4.73,0
Relógio Parado (Ao Vivo),Diego & Arnaldo,124.984,0.943,0.741,0.725,0.0486,0.0,0.965,0.0456,-1.401,1
Liar,Camila Cabello,98.016,0.498,0.74,0.652,0.0169,0.00282,0.319,0.0456,-6.684,1
Sobrou Silêncio,Rashid,92.052,0.765,0.825,0.277,0.369,0.0,0.321,0.12,-5.028,0
O que Tiver de Ser,Detonautas Roque Clube,180.18,0.843,0.421,0.344,0.0352,0.0,0.114,0.194,-4.532,0
Exército da Paz (Peace Army),Natiruts,178.075,0.768,0.553,0.926,0.179,0.0,0.0784,0.0413,-6.376,0
Invocada (Participação especial de Léo Santana) - Ao vivo,Ludmilla,134.992,0.864,0.776,0.701,0.478,0.0,0.932,0.0517,-4.281,1
Bumbum Ignorante,Dennis DJ,155.061,0.733,0.857,0.855,0.158,0.0,0.0855,0.0985,-3.528,0
Tiro de Festim - Ao Vivo,Guilherme & Benuto,112.361,0.753,0.549,0.55,0.656,0.0,0.442,0.104,-4.728,0
Isso Que é Vida,Dennis DJ,133.889,0.73,0.86,0.93,0.471,0.0,0.0952,0.13,-3.565,0
Shameless,Camila Cabello,129.698,0.651,0.377,0.0851,0.0197,5.31e-05,0.174,0.0588,-5.437,1
"Yo x Ti, Tu x Mi",ROSALÍA,91.952,0.759,0.78,0.579,0.462,0.000868,0.143,0.225,-3.292,1
Princesa - Ao Vivo,Nego do Borel,149.977,0.827,0.721,0.951,0.335,0.0,0.311,0.0536,-5.127,0
You Know You Love Me,Jetlag Music,127.052,0.839,0.696,0.894,0.312,8.77e-06,0.184,0.0261,-3.687,0
Reggae Bom,Lagum,67.006,0.514,0.669,0.557,0.417,0.0,0.197,0.0745,-9.878,0
Só Ficou O Cheiro (feat. Melim),Rael,84.003,0.728,0.744,0.608,0.504,0.0,0.472,0.0755,-6.971,0
London,GUILC,124.0,0.94,0.766,0.511,0.0305,0.000826,0.298,0.0805,-6.432,0
Onze e Pouquinho,Dilsinho,140.03,0.597,0.609,0.746,0.722,0.0,0.158,0.0378,-8.881,1
Te Prometo,Dennis DJ,173.981,0.722,0.825,0.823,0.192,0.0,0.0979,0.197,-3.928,0
Rewind (feat. Caelu),Cat Dealers,123.022,0.817,0.746,0.343,0.00389,0.00236,0.158,0.0612,-5.226,0
Ela É do Tipo,MC Kevin o Chris,90.695,0.398,0.632,0.633,0.945,0.0,0.228,0.373,-6.615,1
Sumiu do Mapa - Ao Vivo,Lucas Lucco,125.01,0.848,0.809,0.768,0.319,0.0,0.64,0.0386,-3.782,1
Pisadinha,Diego & Victor Hugo,164.81,0.874,0.642,0.829,0.439,0.0,0.0821,0.128,-3.162,1
Me Valoriza (feat. Dilsinho) - Ao Vivo,Avine Vinny,149.745,0.801,0.453,0.664,0.131,0.0,0.861,0.106,-3.546,0
Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,136.041,0.619,0.878,0.639,0.0533,0.0,0.113,0.102,-5.56,0
Perrengue - Ao Vivo,Gusttavo Lima,123.11,0.866,0.826,0.909,0.332,0.0,0.665,0.0355,-1.517,1
Lalala,Y2K,129.972,0.391,0.843,0.496,0.181,0.0,0.137,0.0845,-7.899,1
Me Espera,Cacife Clandestino,140.061,0.609,0.767,0.742,0.0233,0.0,0.114,0.0485,-6.947,0
Vidrado Em Você,Dj Guuga,159.926,0.925,0.843,0.59,0.139,7.65e-06,0.109,0.0997,0.302,1
Bate Palma,MC JottaPê,150.052,0.685,0.857,0.837,0.626,0.0,0.206,0.38,-4.84,0
Teu Segredo - Ao Vivo,Vou pro Sereno,80.479,0.672,0.5,0.538,0.674,0.0,0.971,0.0433,-7.363,1
O Brasil Tem Que Te Ver (feat. MC Kevinho),Turma do Pagode,163.748,0.822,0.694,0.911,0.449,0.0,0.97,0.0467,-5.478,0
Flor Que Se Cheira - Ao Vivo,Guilherme & Benuto,117.827,0.759,0.68,0.797,0.637,0.0,0.556,0.144,-5.254,1
Quem Traiu Levou - Ao Vivo,Gusttavo Lima,173.937,0.958,0.583,0.826,0.325,1.98e-06,0.322,0.0849,-2.395,1
"Para, Pensa e Volta - Ao Vivo",Yasmin Santos,111.928,0.791,0.611,0.572,0.245,0.0,0.237,0.0436,-3.095,1
50 Vezes - Ao Vivo,Sorriso Maroto,147.872,0.657,0.557,0.574,0.822,1.54e-06,0.952,0.0277,-6.428,1
Péssimo Negócio (Ao Vivo),Dilsinho,148.03,0.651,0.538,0.544,0.801,0.0,0.948,0.0336,-5.805,1
Passinho do Rá,Dennis DJ,175.137,0.813,0.593,0.698,0.325,0.000234,0.0663,0.268,-3.192,0
Mantém,WIU,129.983,0.765,0.754,0.53,0.38,0.0,0.113,0.0777,-5.354,1
Alô Som (feat. Maiara & Maraisa) - Ao Vivo,Fernando & Sorocaba,119.987,0.869,0.737,0.646,0.261,0.0,0.861,0.0608,-3.173,0
Chora Até Perder a Fala - Ao Vivo,Gusttavo Lima,126.941,0.877,0.805,0.802,0.265,0.0,0.281,0.0449,-2.978,0
Muito Cedo,Turma do Pagode,152.076,0.744,0.561,0.638,0.581,0.0,0.821,0.0408,-6.403,1
Reprise - Ao Vivo,Sorriso Maroto,147.975,0.735,0.561,0.775,0.795,0.0,0.871,0.0357,-6.847,1
Áudio - Ao Vivo em Brasília,Diego & Victor Hugo,110.081,0.812,0.605,0.451,0.515,0.0,0.419,0.0403,-4.699,0
Mensagem Só de Ida (feat. Maiara & Maraisa) - Ao Vivo,Yasmin Santos,161.743,0.855,0.485,0.574,0.159,0.0,0.312,0.165,-2.978,0
Quem me Colocou pra Beber,Os Barões Da Pisadinha,172.021,0.734,0.819,0.962,0.496,0.0,0.0842,0.0991,-6.24,0
Eterna Sacanagem,MC JottaPê,92.678,0.675,0.558,0.769,0.501,0.0,0.106,0.484,-4.564,1
A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,Diego & Victor Hugo,118.777,0.876,0.542,0.634,0.724,0.0,0.925,0.0972,-3.378,1
@Isa - Ao Vivo,Marcos & Belutti,158.904,0.951,0.654,0.913,0.288,0.0,0.121,0.0558,-2.935,0
Pouco a Pouco (Ao Vivo) (feat. Sorriso Maroto),Dilsinho,148.052,0.648,0.485,0.692,0.862,0.0,0.864,0.0362,-6.465,1
Paraíso (Heaven) - Ao Vivo,Fernando & Sorocaba,160.054,0.74,0.657,0.524,0.0632,0.0,0.491,0.0564,-4.644,0
Do Copo Eu Vim (feat. Marília Mendonça) - Ao Vivo em Brasília,Diego & Victor Hugo,116.993,0.884,0.668,0.707,0.663,0.0,0.45,0.0651,-3.239,1
Easy,Camila Cabello,128.073,0.593,0.574,0.355,0.411,1.55e-06,0.0966,0.0463,-5.731,1
Lights Up,Harry Styles,101.939,0.62,0.585,0.281,0.0426,0.00224,0.15,0.0327,-8.09,1
Saudade em Gotas (feat. Wesley Safadão) - Ao Vivo,Yasmin Santos,124.895,0.828,0.716,0.806,0.16,0.0,0.686,0.0727,-4.375,1
Too Close,Ria Mae,96.028,0.667,0.483,0.64,0.0715,0.0,0.0676,0.0912,-6.243,0
Tchau Tchau,Henrique & Diego,135.936,0.83,0.58,0.734,0.154,0.0,0.0449,0.148,-4.266,0
Pequenas Alegrias da Vida Adulta (feat. Thiago Ventura),Emicida,81.912,0.662,0.752,0.695,0.56,0.0,0.0668,0.485,-8.011,0
Qué Pena,Maluma,126.15,0.661,0.635,0.858,0.102,0.0,0.336,0.364,-6.425,1
3 Batidas - Ao Vivo,Guilherme & Benuto,117.582,0.709,0.552,0.528,0.611,0.0,0.763,0.129,-5.435,1
Cry for Me,Camila Cabello,118.058,0.805,0.721,0.653,0.05,0.0,0.153,0.0927,-4.134,1
Oi,Lagum,134.057,0.56,0.806,0.72,0.296,0.0,0.101,0.0485,-9.356,1
Chupadinha,Os Barões Da Pisadinha,172.095,0.844,0.723,0.967,0.646,0.0,0.0744,0.0402,-6.39,0
Cabeça Voando,Os Barões Da Pisadinha,172.008,0.834,0.659,0.963,0.388,1.32e-05,0.121,0.0439,-6.493,0
Não Planeje Nada,Marcos & Belutti,147.096,0.778,0.66,0.48,0.348,0.0,0.723,0.0574,-4.314,0
Mandona - Acústico,Oriente,88.755,0.4,0.652,0.556,0.339,0.0,0.105,0.447,-11.284,1
Praia do Rosa - Acústico,Oriente,90.653,0.595,0.57,0.779,0.273,0.0,0.151,0.216,-8.797,1
Con Altura,ROSALÍA,97.963,0.689,0.882,0.746,0.39,0.00325,0.0501,0.124,-4.027,1
Espelho Meu - Ao Vivo,Henrique & Diego,185.995,0.918,0.521,0.683,0.203,0.0,0.579,0.0867,-3.414,0
Meio Termo - Ao Vivo,Avine Vinny,113.987,0.794,0.676,0.847,0.0654,0.0,0.414,0.046,-3.286,0
Panini,Lil Nas X,153.848,0.594,0.703,0.475,0.342,0.0,0.123,0.0752,-6.146,0
Pesquisa no Google (feat. Henrique & Diego) - Ao Vivo,Turma do Pagode,166.175,0.754,0.543,0.749,0.792,0.0,0.499,0.0639,-6.714,1
Bota pra Tremer,Pedro Sampaio,149.936,0.399,0.872,0.915,0.353,8.32e-05,0.106,0.245,-11.145,0
Volta Vai (feat. Simone & Simaria) - Ao Vivo,Avine Vinny,130.142,0.908,0.569,0.526,0.0677,0.0,0.743,0.0512,-2.477,0
Piscininha Amor,Whadi Gama,159.956,0.7,0.8,0.808,0.264,0.0,0.0938,0.208,-3.359,0
Calma - Remix,Pedro Capó,126.899,0.773,0.826,0.761,0.323,0.0,0.143,0.0524,-4.218,1
