track_name,artist,bpm,energy,danceability,valence,acousticness,instrumentalness,liveness,speechiness,loudness,duration_ms,genre,is_hit,Unnamed: 0,id,artist_names,name,genres,key,mode,tempo,time_signature,artists_ids,groove_factor,commercial_appeal,energy_dance_ratio,vocal_presence,bpm_category,loudness_normalized,hit_potential_score,acoustic_electric_balance,is_music
A Dança,Legião Urbana,136.059,0.389,0.759,0.68,0.00171,0.00175,0.1,0.0648,-13.917,242000.0,mpb,1.0,,,,,,,,,,,0.622965,0.73283,0.505851755526658,0.99825,2.0,0.76805,0.629583,0.0034199999999999786,1.0
A Carta,Renato Russo;Erasmo Carlos,93.144,0.607,0.636,0.423,0.522,1.1e-05,0.0978,0.0243,-5.054,240613.0,mpb,1.0,,,,,,,,,,,0.55534,0.71866,0.9396284829721362,0.999989,1.0,0.9157666666666666,0.592966,0.956,1.0
Falsa consideração - Ao vivo,Jorge Aragão,105.736,0.623,0.509,0.496,0.41,3.61e-06,0.893,0.0663,-10.397,228413.0,mpb,1.0,,,,,,,,,,,0.5176266666666667,0.69443,1.2003853564547207,0.99999639,1.0,0.8267166666666667,0.559143,0.82,1.0
Toda Forma De Poder,Engenheiros Do Hawaii,202.846,0.947,0.325,0.593,0.174,0.0,0.116,0.115,-7.304,195066.0,mpb,1.0,,,,,,,,,,,0.6466000000000001,0.76416,2.826865671641791,1.0,,0.8782666666666666,0.609116,0.348,1.0
Alice (Não me escreva aquela carta de amor),Kid Abelha,177.588,0.7,0.585,0.951,0.085,0.245,0.103,0.0847,-8.591,188506.0,mpb,0.0,,,,,,,,,,,0.69848,0.89449,1.1764705882352942,0.755,3.0,0.8568166666666667,0.723649,0.17000000000000004,1.0
Cheia De Charme,Guilherme Arantes,124.725,0.661,0.752,0.842,0.496,4.58e-05,0.0746,0.0292,-6.133,261666.0,mpb,1.0,,,,,,,,,,,0.682175,0.87547,0.8674540682414699,0.9999542,2.0,0.8977833333333333,0.755047,0.992,1.0
Canto de Ossanha,Casuarina,95.75,0.708,0.435,0.729,0.649,0.0021,0.741,0.0375,-8.022,264533.0,mpb,1.0,,,,,,,,,,,0.48948333333333327,0.81138,1.5910112359550561,0.9979,1.0,0.8663000000000001,0.613338,0.702,1.0
Lágrimas e chuva,Kid Abelha,122.396,0.8,0.706,0.725,0.0332,0.037,0.0488,0.0516,-9.421,273426.0,mpb,0.0,,,,,,,,,,,0.6969933333333334,0.79579,1.11731843575419,0.963,2.0,0.8429833333333333,0.7469790000000001,0.06640000000000001,1.0
Soldados,Legião Urbana,124.084,0.432,0.589,0.605,0.00919,0.195,0.0949,0.0361,-14.089,290733.0,mpb,1.0,,,,,,,,,,,0.5309066666666666,0.7011099999999999,0.7212020033388982,0.8049999999999999,2.0,0.7651833333333333,0.556311,0.018379999999999952,1.0
Não vou me adaptar,Titãs,81.371,0.399,0.536,0.476,0.307,0.000327,0.105,0.0319,-7.579,221733.0,mpb,0.0,,,,,,,,,,,0.42331833333333335,0.71461,0.7307692307692307,0.999673,0.0,0.8736833333333334,0.500761,0.614,1.0
Teletema,Kid Abelha,122.518,0.457,0.807,0.418,0.66,0.0391,0.181,0.0374,-10.013,261359.0,mpb,0.0,,,,,,,,,,,0.6447966666666667,0.66707,0.5593635250917992,0.9609,2.0,0.8331166666666667,0.610207,0.6799999999999999,1.0
"Na rua, na chuva, na fazenda (Casinha de sapé)",Kid Abelha,140.244,0.495,0.754,0.807,0.106,0.00316,0.0685,0.0322,-10.966,224373.0,mpb,0.0,,,,,,,,,,,0.6592399999999999,0.81314,0.6479057591623036,0.99684,3.0,0.8172333333333334,0.692814,0.21199999999999997,1.0
Vinheta,Clarice Falcão,115.929,0.685,0.519,0.745,0.373,0.0,0.0629,0.0955,-7.171,78184.0,mpb,1.0,,,,,,,,,,,0.558215,0.82629,1.2948960302457466,1.0,1.0,0.8804833333333334,0.6447290000000001,0.746,1.0
Pessoal Particular (Ao Vivo),Seu Jorge,112.942,0.859,0.634,0.64,0.539,3.2e-05,0.693,0.0567,-5.832,387720.0,mpb,1.0,,,,,,,,,,,0.6629366666666666,0.79768,1.3338509316770186,0.999968,1.0,0.9027999999999999,0.719068,0.9219999999999999,1.0
Vem Morena,Luiz Gonzaga,116.401,0.444,0.751,0.956,0.434,0.0,0.303,0.0377,-13.842,197226.0,mpb,1.0,,,,,,,,,,,0.6027016666666666,0.84398,0.5834428383705651,1.0,1.0,0.7693,0.709198,0.868,1.0
Sina,IVYSON;Templo Sonoro,127.897,0.347,0.703,0.385,0.593,1.54e-06,0.163,0.0552,-10.079,221995.0,mpb,1.0,,,,,,,,,,,0.5687616666666666,0.65321,0.48667601683029454,0.99999846,2.0,0.8320166666666666,0.527621,0.8140000000000001,1.0
Zero,Liniker e os Caramelows;Liniker;Caramelows,146.004,0.42,0.592,0.441,0.402,0.0,0.101,0.0358,-7.99,292906.0,mpb,1.0,,,,,,,,,,,0.56534,0.6965,0.6976744186046512,1.0,3.0,0.8668333333333333,0.5206500000000001,0.804,1.0
Juntin,Fran;Julio Secchin,125.976,0.565,0.817,0.718,0.474,0.0,0.158,0.261,-7.947,179841.0,mpb,1.0,,,,,,,,,,,0.6879599999999999,0.80773,0.683192261185006,1.0,2.0,0.8675499999999999,0.7206729999999999,0.948,1.0
dois rios,ANAVITÓRIA,139.958,0.28,0.672,0.312,0.964,0.0157,0.0843,0.0286,-14.714,214054.0,mpb,1.0,,,,,,,,,,,0.5532633333333334,0.57766,0.41055718475073316,0.9843,2.0,0.7547666666666667,0.47296600000000005,0.07200000000000006,1.0
Alguém Me Avisou/Acreditar/Sonho Meu,Dona Ivone Lara,91.096,0.574,0.585,0.895,0.565,0.0,0.368,0.0925,-8.751,304866.0,mpb,1.0,,,,,,,,,,,0.5165266666666667,0.87049,0.9647058823529412,1.0,1.0,0.8541500000000001,0.6722490000000001,0.8700000000000001,1.0
Banho de Piscina,Clarice Falcão,126.038,0.707,0.654,0.7,0.263,0.0,0.0736,0.0326,-5.103,202213.0,mpb,1.0,,,,,,,,,,,0.6491633333333333,0.82897,1.0647590361445782,1.0,2.0,0.9149499999999999,0.696597,0.526,1.0
Nem um Dia (Ao Vivo),Djavan,79.596,0.663,0.561,0.651,0.61,1.91e-05,0.811,0.068,-7.047,335626.0,mpb,1.0,,,,,,,,,,,0.5120600000000001,0.78993,1.1611208406304727,0.9999809,0.0,0.8825500000000001,0.632493,0.78,1.0
Último Romance,Roberta Campos,144.994,0.442,0.446,0.469,0.684,0.0,0.0891,0.0266,-7.367,257701.0,mpb,1.0,,,,,,,,,,,0.4972566666666667,0.7139300000000001,0.9692982456140351,1.0,3.0,0.8772166666666668,0.476193,0.6319999999999999,1.0
Ainda É Tudo Seu,Luiza Possi;Thiaguinho,117.987,0.5,0.676,0.124,0.422,0.0,0.12,0.0412,-8.432,238306.0,mpb,1.0,,,,,,,,,,,0.584645,0.5652799999999999,0.7288629737609329,1.0,1.0,0.8594666666666666,0.501728,0.844,1.0
Destruição,Sandy;OUTROEU,131.758,0.679,0.45,0.263,0.224,0.00114,0.107,0.0683,-8.659,187274.0,mpb,1.0,,,,,,,,,,,0.5482966666666667,0.6186100000000001,1.4760869565217392,0.99886,2.0,0.8556833333333334,0.498161,0.44799999999999995,1.0
EU E MINHAS PARANOIAS,Lagum,105.951,0.65,0.76,0.906,0.0251,0.000904,0.518,0.026,-5.882,174957.0,mpb,1.0,,,,,,,,,,,0.651585,0.90358,0.8441558441558442,0.999096,1.0,0.9019666666666667,0.7705580000000002,0.05020000000000002,1.0
Tendo A Lua - Ao Vivo,Os Paralamas Do Sucesso;Pitty,81.128,0.601,0.688,0.643,0.0905,0.000513,0.952,0.0442,-9.324,188853.0,mpb,1.0,,,,,,,,,,,0.5595133333333333,0.76396,0.8610315186246419,0.999487,0.0,0.8446,0.6604960000000001,0.18100000000000005,1.0
Hoje Eu Sei,Vanessa Da Mata,79.96,0.416,0.601,0.151,0.17,4.73e-05,0.0994,0.0299,-9.821,219215.0,mpb,1.0,,,,,,,,,,,0.4585666666666667,0.56219,0.6808510638297872,0.9999527,0.0,0.8363166666666667,0.451619,0.3400000000000001,1.0
Coração Bobo - Voz e Violão,Alceu Valença,112.987,0.586,0.549,0.867,0.825,0.0,0.155,0.0524,-8.13,209876.0,mpb,1.0,,,,,,,,,,,0.5386116666666667,0.8654999999999999,1.0483005366726295,1.0,1.0,0.8644999999999999,0.65535,0.3500000000000001,1.0
Gente Feliz - Ao Vivo,Vanessa Da Mata,140.069,0.648,0.694,0.494,0.022,0.000623,0.708,0.0507,-9.311,246746.0,mpb,1.0,,,,,,,,,,,0.6748483333333333,0.70449,0.9204545454545455,0.999377,3.0,0.8448166666666667,0.641249,0.04400000000000004,1.0
Leve,Sandy;Wanessa Camargo,160.018,0.509,0.551,0.552,0.673,3.66e-06,0.211,0.0339,-8.05,184682.0,mpb,1.0,,,,,,,,,,,0.5948966666666667,0.7403,0.9073083778966131,0.99999634,3.0,0.8658333333333333,0.5575300000000001,0.6539999999999999,1.0
Laços,Nando Reis;Ana Vilela,137.986,0.889,0.602,0.408,0.15,3.31e-05,0.3,0.0717,-6.072,240585.0,mpb,1.0,,,,,,,,,,,0.6976766666666666,0.70248,1.4526143790849673,0.9999669,2.0,0.8987999999999999,0.659348,0.30000000000000004,1.0
Proibida Pra Mim,Zeca Baleiro,132.839,0.361,0.65,0.54,0.722,0.0,0.097,0.0328,-10.614,195000.0,mpb,1.0,,,,,,,,,,,0.5546983333333334,0.7098599999999999,0.5469696969696969,1.0,2.0,0.8230999999999999,0.547286,0.556,1.0
Por Onde Você Anda?,Detonautas Roque Clube,160.212,0.608,0.508,0.312,0.197,0.00297,0.103,0.034,-8.915,241400.0,mpb,1.0,,,,,,,,,,,0.6034200000000001,0.63565,1.1737451737451736,0.99703,3.0,0.8514166666666667,0.511565,0.394,1.0
