track_name,artist,bpm,energy,danceability,valence,acousticness,instrumentalness,liveness,speechiness,loudness,duration_ms,genre,is_hit,Unnamed: 0,id,artist_names,name,genres,key,mode,tempo,time_signature,artists_ids
Tuyo (Narcos Theme) [Extended Version] - A Netflix Original Series Soundtrack,Rodrigo Amarante,112.195,0.497,0.765,0.457,0.492,0.366,0.143,0.0402,-7.806,151565.0,mpb,1.0,,,,,,,,,,
Tuyo (Narcos Theme) - A Netflix Original Series Soundtrack,Rodrigo Amarante,112.219,0.422,0.72,0.546,0.474,0.0847,0.155,0.069,-13.338,89293.0,mpb,1.0,,,,,,,,,,
Azul (Ao Vivo),Djavan,119.567,0.651,0.632,0.652,0.756,3.99e-06,0.726,0.0401,-8.658,259066.0,mpb,1.0,,,,,,,,,,
Apaga a Luz (feat. Olívia),Nicolas Candido;Olívia,96.313,0.42,0.61,0.553,0.815,0.0,0.123,0.0462,-10.889,216446.0,mpb,1.0,,,,,,,,,,
Pareço um Menino,Fábio Jr.,136.408,0.33,0.58,0.373,0.596,1.44e-06,0.0849,0.0295,-13.703,273906.0,mpb,1.0,,,,,,,,,,
Amado - Ao Vivo,Vanessa Da Mata,168.139,0.469,0.357,0.263,0.848,0.000239,0.924,0.043,-11.003,244426.0,mpb,1.0,,,,,,,,,,
FESTA JOVEM,Lagum,130.099,0.438,0.819,0.809,0.378,0.0,0.37,0.303,-10.611,112052.0,mpb,1.0,,,,,,,,,,
Identidade - Ao vivo,Jorge Aragão,105.843,0.721,0.581,0.67,0.612,0.000358,0.648,0.0441,-9.86,231866.0,mpb,1.0,,,,,,,,,,
Tendo A Lua - Ao Vivo,Os Paralamas Do Sucesso,167.815,0.794,0.492,0.683,0.196,2.62e-06,0.873,0.046,-5.823,200826.0,mpb,1.0,,,,,,,,,,
Sobre o Tempo,Pato Fu,94.946,0.551,0.633,0.427,0.00731,0.123,0.144,0.0427,-12.294,207533.0,mpb,1.0,,,,,,,,,,
Look To The Sky,Antônio Carlos Jobim,132.383,0.215,0.499,0.74,0.898,0.913,0.0989,0.031,-17.369,137933.0,mpb,0.0,,,,,,,,,,
