track_name,artist,bpm,energy,danceability,valence,acousticness,instrumentalness,liveness,speechiness,loudness,duration_ms,genre,is_hit,Unnamed: 0,id,artist_names,name,genres,key,mode,tempo,time_signature,artists_ids
Acenda o farol,Tim Maia,123.095,0.883,0.574,0.692,0.0606,0.0,0.0524,0.136,-6.686,192026.0,mpb,0.0,,,,,,,,,,
Monalisa,Jorge Vercillo,124.968,0.873,0.773,0.636,0.482,1.87e-06,0.0995,0.0486,-4.955,222732.0,mpb,1.0,,,,,,,,,,
Fácil - Acústico,Jota Quest,95.914,0.537,0.556,0.313,0.377,0.0,0.757,0.0282,-10.761,229540.0,mpb,1.0,,,,,,,,,,
Se eu lembro faz doer,Tim Maia,132.938,0.752,0.446,0.476,0.448,4.38e-05,0.121,0.0528,-8.252,230706.0,mpb,0.0,,,,,,,,,,
Eu Apenas Queria Que Você Soubesse,Gonzaguinha,139.12,0.505,0.559,0.776,0.737,0.0,0.0878,0.0335,-9.446,155466.0,mpb,1.0,,,,,,,,,,
Amor Maior - Acústico,Jota Quest,76.008,0.538,0.582,0.355,0.636,2.23e-06,0.868,0.0353,-9.395,235385.0,mpb,1.0,,,,,,,,,,
Triste,Antônio Carlos Jobim,136.489,0.396,0.568,0.578,0.738,0.159,0.116,0.029,-13.921,181600.0,mpb,0.0,,,,,,,,,,
O Vento - Acústico,Jota Quest,144.533,0.225,0.343,0.101,0.957,0.000249,0.661,0.0384,-14.937,282891.0,mpb,1.0,,,,,,,,,,
Telegrama,MAR ABERTO,92.434,0.226,0.826,0.487,0.423,0.0,0.0889,0.128,-14.557,236162.0,mpb,1.0,,,,,,,,,,
Garotos Ii (O Outro Lado) - Ao Vivo,Leoni;Dinho Ouro Preto,117.57,0.365,0.522,0.342,0.745,0.0,0.927,0.0448,-11.031,214000.0,mpb,1.0,,,,,,,,,,
Um Cara de Sorte,Detonautas Roque Clube,138.074,0.636,0.524,0.247,0.163,0.0,0.11,0.0302,-5.884,244013.0,mpb,1.0,,,,,,,,,,
Amor pra recomeçar,Frejat,120.528,0.856,0.564,0.726,0.215,0.0,0.337,0.0363,-4.994,214626.0,mpb,1.0,,,,,,,,,,
Favela,Antônio Carlos Jobim,80.845,0.224,0.457,0.48,0.715,1.2e-06,0.224,0.0344,-19.476,154960.0,mpb,0.0,,,,,,,,,,
Anjo - Ao Vivo,Roupa Nova,107.895,0.574,0.533,0.488,0.176,2.77e-05,0.913,0.0264,-8.145,194706.0,mpb,1.0,,,,,,,,,,
Outro Lugar,Detonautas Roque Clube,104.043,0.833,0.616,0.553,0.0392,9.77e-05,0.801,0.0323,-7.932,236973.0,mpb,1.0,,,,,,,,,,
Sangrando,Gonzaguinha;Ivete Sangalo,91.489,0.412,0.485,0.221,0.597,0.0,0.117,0.037,-8.516,233733.0,mpb,1.0,,,,,,,,,,
Neptune's Hep Tune,Antônio Carlos Jobim,79.512,0.412,0.548,0.325,0.807,0.934,0.127,0.0333,-10.248,133506.0,mpb,0.0,,,,,,,,,,
Vê se decide,Tim Maia,123.382,0.743,0.817,0.961,0.298,0.0,0.233,0.0464,-6.656,193866.0,mpb,0.0,,,,,,,,,,
Meu Amor Se Mudou pra Lua - Ao Vivo,Paula Toller,175.897,0.666,0.483,0.426,0.0623,0.0485,0.687,0.0342,-9.793,197511.0,mpb,1.0,,,,,,,,,,
Chão de Giz,Zé Ramalho;Paulinho Moska,140.993,0.327,0.613,0.3,0.767,1.37e-06,0.098,0.03,-10.558,291022.0,mpb,1.0,,,,,,,,,,
Bolinha de papel,Antônio Carlos Jobim;Herbie Mann;João Gilberto,113.42,0.415,0.797,0.965,0.881,0.0,0.0873,0.0514,-14.557,79000.0,mpb,0.0,,,,,,,,,,
Esperando Aviões,Vander Lee,139.862,0.37,0.592,0.209,0.817,5.68e-05,0.107,0.0318,-9.482,222720.0,mpb,1.0,,,,,,,,,,
The Girl From Ipanema,Antônio Carlos Jobim;Frank Sinatra,133.537,0.321,0.541,0.549,0.714,0.00345,0.101,0.0329,-14.418,200360.0,mpb,0.0,,,,,,,,,,
A Flor Que A Gente Assopra,Almir Sater;Renato Teixeira,114.122,0.413,0.675,0.504,0.791,0.0,0.0928,0.0338,-9.974,186160.0,mpb,1.0,,,,,,,,,,
Retalhos De Cetim,Benito Di Paula,116.006,0.61,0.411,0.498,0.384,0.0,0.279,0.036,-6.444,233293.0,mpb,1.0,,,,,,,,,,
Tudo azul,Lulu Santos,93.504,0.61,0.565,0.921,0.568,0.0,0.245,0.0372,-13.236,218066.0,mpb,0.0,,,,,,,,,,
Me diga,Nando Reis,86.503,0.905,0.533,0.726,0.238,6.12e-06,0.223,0.0612,-5.858,255093.0,mpb,0.0,,,,,,,,,,
Alcohol,Jorge Ben Jor,97.378,0.704,0.736,0.96,0.278,0.0,0.0966,0.0398,-9.654,355440.0,mpb,0.0,,,,,,,,,,
Um certo alguém,Lulu Santos,134.685,0.708,0.684,0.84,0.513,2.19e-06,0.088,0.0299,-11.404,213573.0,mpb,0.0,,,,,,,,,,
Construção,Chico Buarque,126.726,0.722,0.479,0.59,0.24,1.18e-05,0.158,0.0299,-5.615,383626.0,mpb,0.0,,,,,,,,,,
Espelhos D'Água,Dalto,113.571,0.568,0.617,0.526,0.0523,2.01e-05,0.152,0.0279,-10.731,175800.0,mpb,1.0,,,,,,,,,,
Tudo Por Nada,Paulo Ricardo,94.561,0.593,0.654,0.555,0.043,1.36e-06,0.0555,0.0284,-8.189,264506.0,mpb,1.0,,,,,,,,,,
Homem do espaço,Jorge Ben Jor,197.08,0.931,0.497,0.95,0.0832,0.0,0.0513,0.126,-6.104,296200.0,mpb,0.0,,,,,,,,,,
O Teatro Dos Vampiros - Ao Vivo Em São Paulo / 1999,Legião Urbana,110.457,0.358,0.543,0.441,0.546,0.0,0.226,0.151,-8.927,336733.0,mpb,1.0,,,,,,,,,,
Cegos do castelo,Nando Reis,154.651,0.706,0.357,0.389,0.345,0.0021,0.307,0.0302,-5.879,258265.0,mpb,0.0,,,,,,,,,,
Canteiros,Fagner,140.012,0.27,0.436,0.421,0.865,0.00127,0.189,0.0462,-17.508,329429.0,mpb,1.0,,,,,,,,,,
Deslizes,Fagner,136.48,0.394,0.54,0.49,0.244,0.0,0.316,0.0284,-15.022,252000.0,mpb,1.0,,,,,,,,,,
Os Alquimistas Estão Chegando Os Alquimistas,Jorge Ben Jor,100.304,0.85,0.546,0.747,0.449,0.000779,0.74,0.0498,-8.415,193120.0,mpb,0.0,,,,,,,,,,
Muito Estranho (Cuida Bem de Mim),Dalto,107.467,0.562,0.665,0.568,0.0211,0.000437,0.294,0.0239,-10.964,236666.0,mpb,1.0,,,,,,,,,,
Pensando Bem,5 a Seco;Pedro Altério;Tó Brandileone,122.892,0.436,0.616,0.264,0.246,1.28e-05,0.107,0.0288,-11.003,199906.0,mpb,1.0,,,,,,,,,,
Cabelo Bagunçado,Agnes Nunes;Neo Beats,89.506,0.442,0.494,0.4,0.437,0.00049,0.111,0.106,-8.764,231000.0,mpb,1.0,,,,,,,,,,
Melhor pensar,UM44K;Luan Otten,149.935,0.431,0.665,0.698,0.416,0.0,0.174,0.0306,-7.119,205345.0,mpb,1.0,,,,,,,,,,
La Belle de Jour,Alceu Valença,101.146,0.308,0.551,0.536,0.922,0.000211,0.109,0.0347,-10.455,232369.0,mpb,1.0,,,,,,,,,,
Carvoeiro,ANAVITÓRIA,125.947,0.447,0.71,0.543,0.0987,9.36e-05,0.105,0.0306,-9.281,264080.0,mpb,1.0,,,,,,,,,,
Árvore,Fran;Chico Chico,77.064,0.386,0.764,0.345,0.71,3.08e-05,0.0848,0.0698,-9.049,187216.0,mpb,1.0,,,,,,,,,,
Caleidoscópio - Ao Vivo,Os Paralamas Do Sucesso,175.448,0.494,0.567,0.547,0.245,0.00132,0.712,0.046,-11.309,256720.0,mpb,1.0,,,,,,,,,,
Paz E Amor,Melim,139.967,0.541,0.683,0.657,0.565,1.48e-06,0.244,0.0448,-8.623,201404.0,mpb,1.0,,,,,,,,,,
Mistério,Lado de Cá,133.064,0.548,0.656,0.103,0.247,0.0,0.104,0.0276,-5.796,195344.0,mpb,1.0,,,,,,,,,,
Morada,Sandy,145.069,0.145,0.383,0.337,0.929,6.72e-06,0.111,0.0314,-14.822,176680.0,mpb,1.0,,,,,,,,,,
Tudo por Você,Lado de Cá;Lays Barros,97.056,0.329,0.679,0.656,0.585,0.0,0.138,0.0325,-10.705,199020.0,mpb,1.0,,,,,,,,,,
Flor de Caña,Diogo Nogueira,185.842,0.743,0.519,0.778,0.416,0.0,0.0853,0.122,-7.7,221669.0,mpb,1.0,,,,,,,,,,
Luz Dos Olhos - Ao Vivo Em São Paulo / 2007,Nando Reis;Andrea Martins,91.008,0.694,0.467,0.336,0.46,0.0,0.747,0.0304,-6.637,306813.0,mpb,1.0,,,,,,,,,,
O Amanhã,Detonautas Roque Clube,149.984,0.562,0.563,0.314,0.139,0.0,0.145,0.0268,-8.621,211706.0,mpb,1.0,,,,,,,,,,
A Vida Não Erra,Vicka,157.737,0.599,0.549,0.711,0.283,0.0,0.153,0.0313,-6.791,185500.0,mpb,1.0,,,,,,,,,,
Pega A Visão,Melim,84.976,0.549,0.624,0.528,0.746,0.0,0.0881,0.0364,-8.035,162677.0,mpb,1.0,,,,,,,,,,
Agridoce,Luiza Possi;Lulu Santos,102.058,0.782,0.762,0.602,0.306,0.0,0.161,0.15,-4.169,157647.0,mpb,1.0,,,,,,,,,,
Geração Coca-Cola,Legião Urbana,97.9,0.89,0.574,0.83,0.082,0.0,0.0741,0.041,-5.789,141400.0,mpb,1.0,,,,,,,,,,
Eu Pra Você,Sandy;Melim,179.861,0.517,0.566,0.503,0.65,0.0,0.108,0.0277,-8.99,198071.0,mpb,1.0,,,,,,,,,,
O Sal Da Terra,Beto Guedes,106.251,0.803,0.454,0.403,0.0378,1.03e-06,0.19,0.0403,-7.768,209226.0,mpb,1.0,,,,,,,,,,
O Pato,MPB4,204.767,0.617,0.518,0.93,0.836,0.0,0.0801,0.152,-5.353,127720.0,mpb,1.0,,,,,,,,,,
"Lenda das Sereias, Rainha do Mar - Ao Vivo",Marisa Monte,154.385,0.36,0.668,0.979,0.0933,3.3e-06,0.664,0.0483,-19.89,250400.0,mpb,1.0,,,,,,,,,,
Aluga-Se,Raul Seixas,143.138,0.823,0.71,0.967,0.467,0.0,0.0982,0.0901,-8.713,158266.0,mpb,1.0,,,,,,,,,,
Amanhã ou Depois,Nenhum De Nós,94.008,0.783,0.56,0.734,0.136,1.18e-05,0.329,0.0249,-5.695,203466.0,mpb,1.0,,,,,,,,,,
Cowboy Fora Da Lei,Raul Seixas,172.522,0.744,0.43,0.812,0.0491,0.0,0.295,0.0707,-7.924,215426.0,mpb,1.0,,,,,,,,,,
Blusinha Branca,Papas Da Língua,170.098,0.899,0.601,0.779,0.213,0.0,0.721,0.0651,-6.713,298453.0,mpb,1.0,,,,,,,,,,
Chão de Giz,Zé Ramalho,145.24,0.427,0.277,0.561,0.703,0.000221,0.267,0.0308,-9.124,285360.0,mpb,1.0,,,,,,,,,,
Amuleto,Tiê,94.616,0.254,0.551,0.382,0.917,7.77e-06,0.104,0.0282,-7.968,206585.0,mpb,1.0,,,,,,,,,,
À Sua Maneira (De Música Ligera) (feat. Seu Jorge) - Ao Vivo,Capital Inicial;Seu Jorge,109.934,0.813,0.582,0.345,0.0819,0.00119,0.902,0.0295,-4.558,267120.0,mpb,1.0,,,,,,,,,,
Por Onde Andei - Ao Vivo,Nando Reis;Cachorro Grande,172.034,0.819,0.386,0.817,0.131,8.36e-06,0.365,0.0523,-7.89,235626.0,mpb,1.0,,,,,,,,,,
Façamos (Vamos Amar),Elza Soares;Chico Buarque,115.116,0.28,0.664,0.41,0.779,0.0,0.159,0.0362,-7.606,353346.0,mpb,1.0,,,,,,,,,,
Pra Você Guardei o Amor - Ao Vivo,Nando Reis,142.014,0.33,0.441,0.381,0.892,1.5e-05,0.922,0.0352,-11.733,312733.0,mpb,1.0,,,,,,,,,,
Gentileza - 2004 Digital Remaster,Marisa Monte,145.988,0.47,0.659,0.579,0.611,0.0092,0.102,0.0272,-7.808,167266.0,mpb,1.0,,,,,,,,,,
Enquanto Engoma A Calça,Ednardo,97.455,0.759,0.655,0.707,0.249,0.0,0.18,0.25,-9.235,213133.0,mpb,1.0,,,,,,,,,,
Romaria - Remasterizado,Renato Teixeira,92.412,0.346,0.505,0.377,0.6,2.5e-06,0.0787,0.0263,-10.3,243466.0,mpb,1.0,,,,,,,,,,
Papel de pão - Ao vivo,Jorge Aragão,155.835,0.775,0.492,0.811,0.653,0.0469,0.41,0.0373,-9.836,241666.0,mpb,1.0,,,,,,,,,,
Família,Titãs,79.508,0.683,0.558,0.624,0.0248,7.85e-05,0.062,0.0807,-6.061,249866.0,mpb,0.0,,,,,,,,,,
Domingo,Titãs,140.211,0.771,0.617,0.881,0.00832,0.000115,0.301,0.0328,-8.601,253666.0,mpb,0.0,,,,,,,,,,
A Dança,Legião Urbana,136.059,0.389,0.759,0.68,0.00171,0.00175,0.1,0.0648,-13.917,242000.0,mpb,1.0,,,,,,,,,,
A Carta,Renato Russo;Erasmo Carlos,93.144,0.607,0.636,0.423,0.522,1.1e-05,0.0978,0.0243,-5.054,240613.0,mpb,1.0,,,,,,,,,,
Falsa consideração - Ao vivo,Jorge Aragão,105.736,0.623,0.509,0.496,0.41,3.61e-06,0.893,0.0663,-10.397,228413.0,mpb,1.0,,,,,,,,,,
Toda Forma De Poder,Engenheiros Do Hawaii,202.846,0.947,0.325,0.593,0.174,0.0,0.116,0.115,-7.304,195066.0,mpb,1.0,,,,,,,,,,
Alice (Não me escreva aquela carta de amor),Kid Abelha,177.588,0.7,0.585,0.951,0.085,0.245,0.103,0.0847,-8.591,188506.0,mpb,0.0,,,,,,,,,,
Cheia De Charme,Guilherme Arantes,124.725,0.661,0.752,0.842,0.496,4.58e-05,0.0746,0.0292,-6.133,261666.0,mpb,1.0,,,,,,,,,,
Canto de Ossanha,Casuarina,95.75,0.708,0.435,0.729,0.649,0.0021,0.741,0.0375,-8.022,264533.0,mpb,1.0,,,,,,,,,,
Lágrimas e chuva,Kid Abelha,122.396,0.8,0.706,0.725,0.0332,0.037,0.0488,0.0516,-9.421,273426.0,mpb,0.0,,,,,,,,,,
Soldados,Legião Urbana,124.084,0.432,0.589,0.605,0.00919,0.195,0.0949,0.0361,-14.089,290733.0,mpb,1.0,,,,,,,,,,
Não vou me adaptar,Titãs,81.371,0.399,0.536,0.476,0.307,0.000327,0.105,0.0319,-7.579,221733.0,mpb,0.0,,,,,,,,,,
Teletema,Kid Abelha,122.518,0.457,0.807,0.418,0.66,0.0391,0.181,0.0374,-10.013,261359.0,mpb,0.0,,,,,,,,,,
"Na rua, na chuva, na fazenda (Casinha de sapé)",Kid Abelha,140.244,0.495,0.754,0.807,0.106,0.00316,0.0685,0.0322,-10.966,224373.0,mpb,0.0,,,,,,,,,,
Vinheta,Clarice Falcão,115.929,0.685,0.519,0.745,0.373,0.0,0.0629,0.0955,-7.171,78184.0,mpb,1.0,,,,,,,,,,
Pessoal Particular (Ao Vivo),Seu Jorge,112.942,0.859,0.634,0.64,0.539,3.2e-05,0.693,0.0567,-5.832,387720.0,mpb,1.0,,,,,,,,,,
Vem Morena,Luiz Gonzaga,116.401,0.444,0.751,0.956,0.434,0.0,0.303,0.0377,-13.842,197226.0,mpb,1.0,,,,,,,,,,
Sina,IVYSON;Templo Sonoro,127.897,0.347,0.703,0.385,0.593,1.54e-06,0.163,0.0552,-10.079,221995.0,mpb,1.0,,,,,,,,,,
Zero,Liniker e os Caramelows;Liniker;Caramelows,146.004,0.42,0.592,0.441,0.402,0.0,0.101,0.0358,-7.99,292906.0,mpb,1.0,,,,,,,,,,
Juntin,Fran;Julio Secchin,125.976,0.565,0.817,0.718,0.474,0.0,0.158,0.261,-7.947,179841.0,mpb,1.0,,,,,,,,,,
dois rios,ANAVITÓRIA,139.958,0.28,0.672,0.312,0.964,0.0157,0.0843,0.0286,-14.714,214054.0,mpb,1.0,,,,,,,,,,
Alguém Me Avisou/Acreditar/Sonho Meu,Dona Ivone Lara,91.096,0.574,0.585,0.895,0.565,0.0,0.368,0.0925,-8.751,304866.0,mpb,1.0,,,,,,,,,,
Banho de Piscina,Clarice Falcão,126.038,0.707,0.654,0.7,0.263,0.0,0.0736,0.0326,-5.103,202213.0,mpb,1.0,,,,,,,,,,
Nem um Dia (Ao Vivo),Djavan,79.596,0.663,0.561,0.651,0.61,1.91e-05,0.811,0.068,-7.047,335626.0,mpb,1.0,,,,,,,,,,
Último Romance,Roberta Campos,144.994,0.442,0.446,0.469,0.684,0.0,0.0891,0.0266,-7.367,257701.0,mpb,1.0,,,,,,,,,,
Ainda É Tudo Seu,Luiza Possi;Thiaguinho,117.987,0.5,0.676,0.124,0.422,0.0,0.12,0.0412,-8.432,238306.0,mpb,1.0,,,,,,,,,,
Destruição,Sandy;OUTROEU,131.758,0.679,0.45,0.263,0.224,0.00114,0.107,0.0683,-8.659,187274.0,mpb,1.0,,,,,,,,,,
EU E MINHAS PARANOIAS,Lagum,105.951,0.65,0.76,0.906,0.0251,0.000904,0.518,0.026,-5.882,174957.0,mpb,1.0,,,,,,,,,,
Tendo A Lua - Ao Vivo,Os Paralamas Do Sucesso;Pitty,81.128,0.601,0.688,0.643,0.0905,0.000513,0.952,0.0442,-9.324,188853.0,mpb,1.0,,,,,,,,,,
Hoje Eu Sei,Vanessa Da Mata,79.96,0.416,0.601,0.151,0.17,4.73e-05,0.0994,0.0299,-9.821,219215.0,mpb,1.0,,,,,,,,,,
Coração Bobo - Voz e Violão,Alceu Valença,112.987,0.586,0.549,0.867,0.825,0.0,0.155,0.0524,-8.13,209876.0,mpb,1.0,,,,,,,,,,
Gente Feliz - Ao Vivo,Vanessa Da Mata,140.069,0.648,0.694,0.494,0.022,0.000623,0.708,0.0507,-9.311,246746.0,mpb,1.0,,,,,,,,,,
Leve,Sandy;Wanessa Camargo,160.018,0.509,0.551,0.552,0.673,3.66e-06,0.211,0.0339,-8.05,184682.0,mpb,1.0,,,,,,,,,,
Laços,Nando Reis;Ana Vilela,137.986,0.889,0.602,0.408,0.15,3.31e-05,0.3,0.0717,-6.072,240585.0,mpb,1.0,,,,,,,,,,
Proibida Pra Mim,Zeca Baleiro,132.839,0.361,0.65,0.54,0.722,0.0,0.097,0.0328,-10.614,195000.0,mpb,1.0,,,,,,,,,,
Por Onde Você Anda?,Detonautas Roque Clube,160.212,0.608,0.508,0.312,0.197,0.00297,0.103,0.034,-8.915,241400.0,mpb,1.0,,,,,,,,,,
Vinte E Nove,Legião Urbana,129.726,0.542,0.42,0.72,0.02,0.0471,0.185,0.036,-13.097,223933.0,mpb,1.0,,,,,,,,,,
De Cada Vez,Sandy;Agnes Nunes,94.834,0.323,0.548,0.382,0.721,0.0,0.0841,0.0256,-9.942,215736.0,mpb,1.0,,,,,,,,,,
Pausa #Omundoprecisadepausa,Vicka,121.995,0.549,0.708,0.519,0.161,0.0,0.113,0.0276,-7.428,199500.0,mpb,1.0,,,,,,,,,,
Além do Que Se Vê,Los Hermanos,138.111,0.498,0.718,0.767,0.286,0.000326,0.157,0.031,-7.171,230746.0,mpb,1.0,,,,,,,,,,
Perdidos No Espaço,Legião Urbana,81.917,0.567,0.572,0.768,0.0435,0.129,0.0966,0.0388,-12.398,177466.0,mpb,1.0,,,,,,,,,,
O Meu Mundo Ficaria Completo (Com Você),Cássia Eller,168.029,0.91,0.637,0.87,0.624,0.0,0.115,0.0589,-3.651,249132.0,mpb,1.0,,,,,,,,,,
Alice (Não Me Escreva Aquela Carta de Amor) / Conspiração Internacional - Ao Vivo,Leoni,80.557,0.484,0.567,0.843,0.805,0.0,0.881,0.0397,-8.201,201613.0,mpb,1.0,,,,,,,,,,
Maria de Verdade,Marisa Monte,98.059,0.52,0.728,0.843,0.241,0.000104,0.118,0.0277,-11.185,235933.0,mpb,1.0,,,,,,,,,,
Mil e uma noites de amor,Pepeu Gomes,107.955,0.949,0.614,0.67,0.146,2.17e-06,0.472,0.0386,-6.93,352306.0,mpb,1.0,,,,,,,,,,
Coisa da pele - Ao vivo,Jorge Aragão,102.493,0.864,0.501,0.745,0.771,0.00384,0.979,0.0926,-8.877,235866.0,mpb,1.0,,,,,,,,,,
Inferno são os outros,Detonautas Roque Clube,110.055,0.797,0.642,0.563,0.0899,1.38e-05,0.732,0.0286,-7.173,211706.0,mpb,1.0,,,,,,,,,,
Canção Pra Pedir Perdão,Renato Teixeira,115.028,0.399,0.486,0.459,0.792,6.46e-05,0.132,0.0369,-7.754,225517.0,mpb,1.0,,,,,,,,,,
Se Eu Não Te Amasse Tanto Assim,Georgia Castro,200.122,0.129,0.429,0.496,0.961,0.0,0.14,0.0481,-12.562,201137.0,mpb,1.0,,,,,,,,,,
Foi Deus Quem Fez Você,Amelinha,133.596,0.653,0.421,0.409,0.318,0.0,0.377,0.0487,-6.98,232973.0,mpb,1.0,,,,,,,,,,
Baader-Meinhof Blues,Legião Urbana,189.72,0.831,0.253,0.657,0.012,6.62e-05,0.508,0.0456,-5.41,207533.0,mpb,1.0,,,,,,,,,,
Primavera,Los Hermanos,200.332,0.624,0.339,0.408,0.421,1.36e-05,0.126,0.0313,-4.755,262040.0,mpb,1.0,,,,,,,,,,
A Força do Amor - Ao Vivo,Roupa Nova,77.083,0.774,0.525,0.721,0.121,0.0,0.935,0.0451,-8.649,267906.0,mpb,1.0,,,,,,,,,,
Rosa Maria,Milton Nascimento,151.995,0.46,0.584,0.681,0.774,9.21e-05,0.147,0.0336,-9.491,295133.0,mpb,0.0,,,,,,,,,,
O Que Será (A Flor Da Pele),Milton Nascimento;Chico Buarque,112.096,0.366,0.431,0.258,0.689,0.0,0.434,0.0354,-12.371,247426.0,mpb,0.0,,,,,,,,,,
Iluminado,Vander Lee,79.755,0.613,0.466,0.384,0.43,7.06e-05,0.246,0.0284,-8.69,237280.0,mpb,1.0,,,,,,,,,,
Corcovado,Elis Regina,105.145,0.44,0.396,0.18,0.915,5.1e-05,0.697,0.0459,-9.062,232786.0,mpb,0.0,,,,,,,,,,
La Belle de Jour-Girassol - Ao Vivo,Alceu Valença;Orquestra Ouro Preto,105.032,0.581,0.326,0.614,0.286,0.000205,0.691,0.0384,-10.868,424786.0,mpb,1.0,,,,,,,,,,
Escrito Nas Estrelas,Tetê Espíndola,120.082,0.441,0.762,0.584,0.415,0.0,0.157,0.0429,-12.038,218535.0,mpb,1.0,,,,,,,,,,
Como Nossos Pais,Elis Regina,143.721,0.498,0.491,0.478,0.3,0.0,0.0734,0.0821,-7.658,261600.0,mpb,0.0,,,,,,,,,,
Beguine dodói,Elis Regina,111.673,0.333,0.728,0.399,0.69,0.0,0.0653,0.0791,-16.162,134973.0,mpb,0.0,,,,,,,,,,
Maior abandonado (Ao Vivo) - Live,Barão Vermelho,143.041,0.63,0.668,0.904,0.256,0.0267,0.162,0.041,-6.368,163693.0,mpb,0.0,,,,,,,,,,
Sabiá - Ao Vivo,Alceu Valença;Elba Ramalho;Geraldo Azevedo,158.143,0.819,0.493,0.624,0.575,0.0,0.724,0.117,-7.757,174760.0,mpb,1.0,,,,,,,,,,
Entre a Serpente e a Estrela (Amarillo By Money),Zé Ramalho,119.943,0.585,0.377,0.579,0.366,0.00451,0.242,0.0336,-8.894,179866.0,mpb,1.0,,,,,,,,,,
Final Feliz,Jorge Vercillo;Djavan,89.059,0.593,0.598,0.336,0.76,0.0,0.107,0.0732,-7.012,228093.0,mpb,1.0,,,,,,,,,,
Canto de Oxum / Inscrição,Maria Bethânia,104.472,0.056,0.424,0.17,0.898,0.000105,0.11,0.0517,-20.06,314026.0,mpb,1.0,,,,,,,,,,
Por Você,Frejat,122.87,0.33,0.622,0.376,0.464,0.0,0.0624,0.0291,-6.492,211816.0,mpb,1.0,,,,,,,,,,
Que Seja Pra Ficar,Mariana Nolasco,113.921,0.372,0.779,0.314,0.635,0.000167,0.114,0.0333,-10.136,222911.0,mpb,1.0,,,,,,,,,,
Coisas Dentro das Coisas,5 a Seco,58.478,0.286,0.391,0.486,0.733,0.0,0.0948,0.0572,-10.177,180946.0,mpb,1.0,,,,,,,,,,
Maktub,Kell Smith,139.898,0.418,0.644,0.245,0.402,5.34e-06,0.0959,0.0283,-8.199,217375.0,mpb,1.0,,,,,,,,,,
Aliança,Tribalistas,132.983,0.314,0.641,0.335,0.96,3.61e-05,0.0991,0.032,-13.932,236970.0,mpb,1.0,,,,,,,,,,
O último romântico,Lulu Santos,129.864,0.494,0.716,0.805,0.62,1.28e-05,0.303,0.0288,-14.118,252306.0,mpb,1.0,,,,,,,,,,
Louca - Ao Vivo,Banda Eva;Maneva,130.414,0.44,0.619,0.313,0.178,1.21e-05,0.146,0.0715,-10.019,184914.0,mpb,1.0,,,,,,,,,,
Loucuras de uma paixão - Ao vivo,Jorge Aragão,173.183,0.82,0.557,0.848,0.687,0.00172,0.93,0.0504,-9.992,258626.0,mpb,1.0,,,,,,,,,,
Transante,Lagum,95.066,0.844,0.741,0.948,0.161,2.94e-06,0.109,0.0547,-5.478,167507.0,mpb,1.0,,,,,,,,,,
A Doida (Ao Vivo),Seu Jorge,107.97,0.961,0.697,0.853,0.262,0.000309,0.332,0.0383,-5.473,179093.0,mpb,1.0,,,,,,,,,,
Os Outros - Ao Vivo,Leoni,119.466,0.394,0.418,0.447,0.85,0.0,0.917,0.0332,-8.341,209773.0,mpb,1.0,,,,,,,,,,
