track_name,artist,bpm,energy,danceability,valence,acousticness,instrumentalness,liveness,speechiness,loudness,duration_ms,genre,is_hit
Move Your Body,Öwnboss;Sevek,125.051,0.821,0.848,0.249,0.0169,0.000403,0.0962,0.0527,-5.408,157444,brazil,1
"Amores, Vícios e Obsessões",BK;JXNV$,129.047,0.517,0.833,0.187,0.116,0.000142,0.116,0.301,-7.502,194478,brazil,1
Pirate,Liu;GenX,125.005,0.781,0.72,0.307,0.00408,0.807,0.308,0.0609,-2.647,221775,brazil,1
Helipa,Yago Oproprio,75.086,0.427,0.692,0.542,0.527,0.0,0.17,0.391,-10.733,202213,brazil,1
Uma Linda Mulher,Xamã;Bagua Records;Luccas Carlos,89.974,0.616,0.704,0.161,0.299,0.0,0.0856,0.0818,-7.042,208000,brazil,1
Expectativas,3030,136.937,0.507,0.75,0.897,0.798,0.0,0.31,0.058,-9.219,201459,brazil,1
Castelos & Ruínas,BK;Sain,117.031,0.584,0.799,0.404,0.103,1.11e-06,0.457,0.118,-8.157,249490,brazil,1
Zoio De Lula - Ao Vivo,Charlie Brown Jr.,87.785,0.866,0.632,0.835,0.0556,5.75e-06,0.518,0.0488,-5.445,224973,brazil,1
Rico E Bem Novin,UCLÃ;Sueth;Shoy;Mc IG,158.852,0.547,0.611,0.355,0.0717,0.0,0.157,0.439,-7.861,238000,brazil,1
Não Vai Voltar,Onze:20,139.942,0.617,0.641,0.941,0.413,0.0,0.112,0.0307,-7.411,239072,brazil,1
Sua Presença - Ao Vivo,Isaias Saad,137.956,0.633,0.457,0.224,0.408,0.0,0.345,0.0315,-6.056,314154,brazil,1
Bring Me To Life,Bruno Martini;David Hodges,117.973,0.829,0.75,0.631,0.16,0.00423,0.0858,0.0515,-6.72,141610,brazil,0
Look To The Sky,Antônio Carlos Jobim,132.383,0.215,0.499,0.74,0.898,0.913,0.0989,0.031,-17.369,137933,brazil,0
Mágico de Oz,Racionais MC's,79.316,0.634,0.575,0.783,0.461,0.0,0.3,0.36,-7.079,456840,brazil,1
Vem Me Buscar - Ao Vivo,Jefferson & Suellen,135.906,0.74,0.423,0.166,0.0206,0.0,0.523,0.0344,-5.309,418698,brazil,1
Venho a Ti,Luma Elpidio,124.211,0.414,0.374,0.196,0.0549,0.0,0.112,0.0344,-7.161,346044,brazil,1
Eu Amo a Tua Glória - Ao Vivo,Isaias Saad;Theo Rubia,133.879,0.519,0.368,0.183,0.598,1.11e-05,0.313,0.0448,-9.827,538613,brazil,1
Até te Encontrar - Ao Vivo,Rebeca Carvalho;Gabriela Rocha,138.093,0.619,0.254,0.311,0.526,0.0,0.692,0.0369,-6.779,576860,brazil,1
O Que Meu Deus Vai Fazer,Weslei Santos,121.815,0.339,0.539,0.29,0.78,0.0,0.0889,0.0314,-10.969,269631,brazil,1
Fácil - Acústico,Jota Quest,95.914,0.537,0.556,0.313,0.377,0.0,0.757,0.0282,-10.761,229540,brazil,1
Porta Do Teu Prédio,Maneva,141.985,0.637,0.751,0.559,0.429,0.0,0.143,0.256,-8.716,179031,brazil,1
Seu Amor / Diante da Cruz,Isaias Saad;LUDI,71.374,0.24,0.333,0.251,0.836,4.72e-05,0.0963,0.0312,-12.006,497600,brazil,1
Foi Deus,Davi Sacer,117.878,0.492,0.612,0.5,0.435,0.0,0.559,0.0476,-6.956,453941,brazil,1
Redentor,Marcelo Markes;Sarah Beatriz,131.816,0.706,0.43,0.085,0.235,0.0,0.107,0.0538,-7.743,382272,brazil,1
O Que Sua Glória Fez Comigo,Fernanda Brum,140.192,0.597,0.279,0.365,0.405,0.0,0.697,0.0398,-6.269,399243,brazil,1
Outro Lugar,Detonautas Roque Clube,104.043,0.833,0.616,0.553,0.0392,9.77e-05,0.801,0.0323,-7.932,236973,brazil,1
Deus do Impossível (Ao Vivo em Mojave Desert),Aline Barros,136.186,0.429,0.326,0.148,0.51,7.85e-06,0.114,0.0358,-8.561,209293,brazil,1
Neptune's Hep Tune,Antônio Carlos Jobim,79.512,0.412,0.548,0.325,0.807,0.934,0.127,0.0333,-10.248,133506,brazil,0
Triste,Antônio Carlos Jobim,136.489,0.396,0.568,0.578,0.738,0.159,0.116,0.029,-13.921,181600,brazil,0
Chão de Giz,Zé Ramalho;Paulinho Moska,140.993,0.327,0.613,0.3,0.767,1.37e-06,0.098,0.03,-10.558,291022,brazil,1
Em Teu Altar,Walmir Alencar,98.093,0.256,0.627,0.259,0.754,0.0,0.127,0.0264,-9.31,253853,brazil,1
Labareda - Ao Vivo,Jefferson & Suellen,133.038,0.843,0.348,0.306,0.116,0.0,0.105,0.08,-6.963,269282,brazil,1
Favela,Antônio Carlos Jobim,80.845,0.224,0.457,0.48,0.715,1.2e-06,0.224,0.0344,-19.476,154960,brazil,0
Você Não Imagina,Delino Marçal;Midian Lima,116.349,0.526,0.504,0.342,0.273,0.0,0.15,0.0317,-6.724,318020,brazil,1
The Girl From Ipanema,Antônio Carlos Jobim;Frank Sinatra,133.537,0.321,0.541,0.549,0.714,0.00345,0.101,0.0329,-14.418,200360,brazil,0
Nas Asas do Senhor (feat. Celina Borges),Padre Fábio De Melo;Celina Borges,121.747,0.339,0.404,0.166,0.374,0.0,0.165,0.0299,-8.739,303973,brazil,1
Bolinha de papel,Antônio Carlos Jobim;Herbie Mann;João Gilberto,113.42,0.415,0.797,0.965,0.881,0.0,0.0873,0.0514,-14.557,79000,brazil,0
Águas Purificadoras/Oceanos - Ao Vivo,Isaias Saad;John Dias,133.989,0.523,0.395,0.215,0.601,0.0,0.683,0.0349,-8.592,398188,brazil,1
Sacramento da Comunhão (Ao Vivo),Nelsinho Corrêa;Ana Lúcia,137.517,0.445,0.28,0.285,0.705,0.0,0.797,0.0319,-9.826,341787,brazil,1
Acalma Minha Tempestade,Frei Gilson,134.014,0.907,0.538,0.345,0.0567,9.07e-06,0.178,0.0515,-6.877,384850,brazil,1
Árvore Cortada,Valesca Mayssa,138.32,0.458,0.387,0.346,0.297,0.0,0.117,0.0344,-9.953,423915,brazil,1
Eu Não Sou Mais Órfão - Acústico,Gabriel Brito,141.761,0.266,0.535,0.158,0.768,0.0,0.109,0.0275,-8.483,208810,brazil,1
Não Adoro por Sinais,Gabriel Brito,130.015,0.463,0.598,0.382,0.588,0.0,0.114,0.0285,-8.995,203264,brazil,1
Consagração / Louvor ao Rei,Aline Barros,119.991,0.509,0.52,0.321,0.425,1.15e-06,0.082,0.0301,-9.116,381318,brazil,1
Me diga,Nando Reis,86.503,0.905,0.533,0.726,0.238,6.12e-06,0.223,0.0612,-5.858,255093,brazil,0
Tudo Posso,Padre Fábio De Melo,141.488,0.277,0.311,0.196,0.715,1.35e-06,0.116,0.0326,-15.608,335640,brazil,1
Todos Os Meus Dias - Ao Vivo,Gabriel Guedes de Almeida,138.057,0.656,0.509,0.409,0.0315,2.12e-06,0.102,0.0327,-7.574,204700,brazil,1
A feira,O Rappa,97.983,0.886,0.713,0.9,0.0012,7.68e-06,0.0496,0.0411,-7.75,239533,brazil,0
Cegos do castelo,Nando Reis,154.651,0.706,0.357,0.389,0.345,0.0021,0.307,0.0302,-5.879,258265,brazil,0
Deus do Impossível,Ministério Apascentar de Nova Iguaçu,139.261,0.452,0.418,0.225,0.762,0.0,0.822,0.0304,-7.619,279057,brazil,1
de volta ao início,Sotam;Rob;enzo dicarlo,80.33,0.415,0.734,0.493,0.14,1.91e-05,0.135,0.451,-8.758,149161,brazil,1
Só Uma Noite,Fabio Brazza;Péricles,83.489,0.599,0.795,0.618,0.265,0.0,0.0914,0.255,-7.001,230157,brazil,1
"Lamentável, Pt. III",Froid;Cynthia Luz,69.95,0.564,0.663,0.351,0.57,0.0,0.204,0.384,-6.357,210517,brazil,1
Só Por Uma Noite - Ao Vivo,Charlie Brown Jr.,114.873,0.94,0.568,0.738,0.0366,0.00314,0.735,0.0402,-6.414,190400,brazil,1
CRUPIÊ,Sotam;JOTA,80.036,0.339,0.705,0.557,0.752,5.51e-05,0.137,0.41,-11.382,157750,brazil,1
"Crônicas de Um Babaca, Vol. 1",Zarastruta;DJ Cost,89.831,0.603,0.707,0.396,0.793,0.0,0.116,0.461,-8.787,174666,brazil,1
O Próximo Nascer do Sol,BK;JXNV$,89.843,0.732,0.618,0.434,0.622,0.0,0.141,0.374,-5.594,186806,brazil,1
Sigo na Sombra,BK;El Lif Beatz,84.223,0.731,0.633,0.683,0.417,0.0,0.344,0.353,-5.036,195324,brazil,1
Mil Faces de um Homem Leal (Marighella),Racionais MC's,95.1,0.716,0.716,0.378,0.622,0.0,0.427,0.382,-8.52,598736,brazil,1
Hoje Livre Sou,Ministério Adoração e Vida,147.919,0.522,0.475,0.227,0.458,0.0,0.146,0.0271,-3.32,271960,brazil,1
Comunista Elegante,Yago Oproprio;Patricio Sid,119.041,0.397,0.905,0.383,0.633,1.05e-05,0.11,0.154,-12.199,165378,brazil,1
